"Id","MSSubClass","MSZoning","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinSF2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","ScreenPorch","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","SalePrice","TotalSpaceSF","LotFA","RmsPerLivSpc","TotalBath","FPperSF","YearRemodAdd_tog","MasVnrArea_tog","BsmtFinSF1_tog","BsmtFinSF2_tog","GarageArea_tog","WoodDeckSF_tog","OpenPorchSF_tog","ScreenPorch_tog"
14,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","Med",7,"5",2006,2007,"Low","Low","VinylSd","VinylSd","Stone",306,"Gd","TA","Other","Gd","High","Med","Med",0,0,"GasA","Ex","Y","High","Gd","High","TA","High",2006,"RFn",3,840,"TA","TA","Y",160,33,0,"Low","None","None",0,"High","High",279500,2988,194.208526779525,0.00468540829986613,2,0.000334672021419009,1,1,0,0,1,1,1,0
15,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",6,"5",1960,1960,"Med","Low","Med","Low","BrkFace",212,"TA","TA","Stone","TA","High","No","Low",733,0,"GasA","Med","Y","High","TA","High","Fa","High",1960,"RFn",1,352,"TA","TA","Y",0,213,0,"Low","Med","None",0,"Med","Med_High",157000,2506,177.014135208299,0.00399042298483639,2,0.000399042298483639,1,1,1,0,1,0,1,0
16,45,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Fam","1.5Unf",7,"8",1929,2001,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","Med",0,0,"GasA","Ex","Y","Med","TA","High","Low","Med",1991,"Unf",2,576,"TA","TA","Y",48,112,0,"Low","High","None",0,"Med","Med_High",132000,1686,129.230428862432,0.00585480093676815,1,0,1,0,0,0,1,1,1,0
17,20,"RL","Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_Low","Fam","Med",6,"7",1970,1970,"Low","Low","Med","Low","BrkFace",180,"TA","TA","Stone","TA","High","No","Med",578,0,"GasA","Ex","Y","High","TA","High","TA","High",1970,"Fin",2,480,"TA","TA","Y",0,0,0,"Low","None","Shed",700,"Med","Med_High",149000,2008,179.383942593321,0.0049800796812749,1,0.00049800796812749,1,1,1,0,1,0,0,0
18,90,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","fmCon","Med",4,"5",1967,1967,"Low","Low","Med","Low","None",0,"TA","TA","Slab","None","Med","None","None",0,0,"GasA","Med","Y","High","TA","High","Low","Low",1967,"Unf",2,516,"TA","TA","Y",0,0,0,"Low","None","Shed",500,"Med","Med_High",90000,1296,175.879738159085,0.00462962962962963,2,0,1,0,0,0,1,0,0,0
19,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","Med",5,"5",2004,2004,"Low","Low","VinylSd","VinylSd","None",0,"TA","TA","Other","TA","High","No","High",646,0,"GasA","Ex","Y","High","Gd","High","Low","Med",2004,"Unf",2,576,"TA","TA","Y",0,102,0,"Low","None","None",0,"Med","Med_High",159000,2228,183.025638216589,0.00538599640933573,2,0,1,0,1,0,1,0,1,0
20,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",5,"6",1958,1965,"Med","Low","Highest","Med","None",0,"TA","TA","Stone","TA","High","No","Low",504,0,"GasA","Med","Y","High","TA","Med","Low","High",1958,"Unf",1,294,"TA","TA","Y",0,0,0,"Low","Med","None",0,"Med","Med",139000,2368,156.948260477137,0.00448095593726662,1,0,1,0,1,0,1,0,0,0
21,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","High",8,"5",2005,2006,"Low","Low","VinylSd","VinylSd","BrkFace",380,"Gd","TA","Other","Ex","High","Med","Med",0,0,"GasA","Ex","Y","High","Gd","High","TA","Highest",2005,"RFn",3,853,"TA","TA","Y",240,154,0,"Low","None","None",0,"High","High",325300,3534,220.226674867665,0.00378787878787879,4,0.000282965478211658,1,1,0,0,1,1,1,0
22,45,"Othr","Pave","Grvl","Reg","Bnk","AllPub","NotCulD","Gtl","Lowest","Fam","1.5Unf",7,"7",1930,1950,"Low","Low","Med","Low","None",0,"TA","TA","Other","TA","High","No","Med",0,0,"GasA","Ex","Y","Med","Gd","High","TA","High",1930,"Unf",1,280,"TA","TA","N",0,0,0,"Low","High","None",0,"Med","Med_High",139400,1745,143.307589469293,0.00541516245487365,1,0.000573065902578797,0,0,0,0,1,0,0,0
23,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","Med",8,"5",2002,2002,"Med","Low","VinylSd","VinylSd","BrkFace",281,"Gd","TA","Other","Gd","High","No","Med",0,0,"GasA","Ex","Y","High","Gd","High","TA","High",2002,"RFn",2,534,"TA","TA","Y",171,159,0,"Low","None","None",0,"Med","Med_High",230000,3572,173.701570402907,0.00389972144846797,2,0.000279955207166853,1,1,0,0,1,1,1,0
24,120,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lowest","Fam","Med",5,"7",1976,1976,"Low","Low","CemntBd","Highest","None",0,"TA","TA","Other","Gd","High","No","High",840,0,"GasA","Med","Y","High","TA","High","TA","High",1976,"Unf",2,572,"TA","TA","Y",100,110,0,"Low","None","None",0,"Med","Med_High",129900,2100,108.992307237088,0.00566037735849057,1,0.000476190476190476,1,0,1,0,1,1,1,0
25,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",5,"8",1968,2001,"Low","Low","Highest","Med","None",0,"TA","Gd","Stone","TA","High","Med","Low",188,668,"GasA","Ex","Y","High","Gd","High","TA","High",1968,"Unf",1,270,"TA","TA","Y",406,90,0,"Low","Med","None",0,"Med","Med_High",154000,2120,156.283544858445,0.00566037735849057,1,0.000471698113207547,1,0,1,1,1,1,1,0
26,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","Med",8,"5",2007,2007,"Low","Low","VinylSd","VinylSd","Stone",640,"Gd","TA","Other","Gd","High","No","Med",0,0,"GasA","Ex","Y","High","Gd","High","TA","High",2007,"RFn",3,890,"TA","TA","Y",0,56,0,"Low","None","None",0,"Med","Med_High",256300,3166,229.289563667573,0.004375,2,0.000315855969677827,1,1,0,0,1,0,1,0
27,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",5,"7",1951,2000,"Low","Low","Med","Low","None",0,"TA","TA","Stone","TA","High","Med","Low",234,486,"GasA","Med","Y","High","Gd","High","Low","Med",2005,"Unf",2,576,"TA","TA","Y",222,32,0,"Low","None","None",0,"Med","Med_High",134800,1800,144.852813742386,0.00555555555555556,1,0,1,0,1,1,1,1,1,0
28,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","Med",8,"5",2007,2008,"Low","Low","VinylSd","VinylSd","Stone",200,"Gd","TA","Other","Ex","High","No","High",1218,0,"GasA","Ex","Y","High","Gd","High","TA","High",2008,"RFn",3,772,"TA","TA","Y",0,50,0,"Low","None","None",0,"Med","Med_High",306000,3408,205.135428313887,0.00410798122065728,2,0.000293427230046948,1,1,1,0,1,0,1,0
29,20,"RL","Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_Low","Fam","Med",5,"6",1957,1997,"Low","Low","Med","Low","None",0,"TA","TA","Stone","TA","High","Gd","Low",1277,0,"GasA","Med","Y","High","TA","High","TA","High",1957,"RFn",1,319,"TA","TA","Y",288,258,0,"Low","None","None",0,"Med","Med_High",207500,3084,174.753669223236,0.00375,1,0.000648508430609598,1,0,1,0,1,1,1,0
30,30,"Othr","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Low","Fam","Med",4,"6",1927,1950,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","Med",0,0,"GasA","Med","N","High","Fa","High","Low","Med",1920,"Unf",1,240,"Fa","TA","Y",49,0,0,"Low","None","None",0,"Med","Med_High",68500,1040,139.523581408284,0.00769230769230769,1,0,0,0,0,0,1,1,0,0
31,70,"C (all)","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lowest","Fam","High",4,"4",1920,1950,"Low","Low","Highest","Med","None",0,"TA","Po","BrkTil","TA","High","No","Med",0,0,"GasA","Med","N","High","TA","High","Low","Med",1920,"Unf",1,250,"TA","Fa","N",0,54,0,"Low","Med","None",0,"Med","Med_High",40000,1966,142.195444572929,0.00455580865603645,1,0,0,0,0,0,1,0,1,0
32,20,"RL","Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_Low","Fam","Med",5,"6",1966,2006,"Low","Low","High","Med","None",0,"TA","TA","Stone","TA","High","No","Med",0,0,"GasA","Med","Y","High","Gd","High","Low","High",1966,"Unf",1,271,"TA","TA","Y",0,65,0,"Low","Med","None",0,"Med","Med_High",149350,2456,158.694297926558,0.00488599348534202,2,0,1,0,0,0,1,0,1,0
33,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","Med",8,"5",2007,2007,"Low","Low","VinylSd","VinylSd","None",0,"Gd","TA","Other","Ex","High","Med","Med",0,0,"GasA","Ex","Y","High","Gd","High","Low","High",2007,"RFn",2,484,"TA","TA","Y",0,30,0,"Low","None","None",0,"Med","Med_High",179900,2468,190.114223585583,0.00567260940032415,2,0,1,0,0,0,1,0,1,0
34,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",5,"5",1959,1959,"Med","Low","Highest","Med","None",0,"TA","TA","Stone","TA","High","No","Low",1018,0,"GasA","Med","Y","High","Gd","High","TA","High",1959,"RFn",2,447,"TA","TA","Y",0,38,0,"Low","None","None",0,"Med","Med_High",165500,3098,172.72292830717,0.00352941176470588,2,0.000322788896061975,1,0,1,0,1,0,1,0
35,120,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","Med",9,"5",2005,2005,"Med","Low","Med","Low","BrkFace",246,"Ex","TA","Other","Ex","High","No","High",1153,0,"GasA","Ex","Y","High","Ex","High","TA","High",2005,"Fin",2,556,"TA","TA","Y",203,47,0,"Low","None","None",0,"Med","Med_High",277500,3122,145.516080359193,0.00384368994234465,2,0.000320307495195388,1,1,1,0,1,1,1,0
36,60,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","High",8,"5",2004,2005,"Low","Low","VinylSd","VinylSd","Stone",132,"Gd","TA","Other","Ex","High","Med","Med",0,0,"GasA","Ex","Y","High","Gd","High","TA","Highest",2004,"Fin",3,691,"TA","TA","Y",113,32,0,"Low","None","None",0,"Med","Med_High",309000,3569,223.83609109427,0.00367047308319739,4,0.000280190529560101,1,1,0,0,1,1,1,0
37,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","Med",5,"5",1994,1995,"Low","Low","VinylSd","VinylSd","None",0,"TA","TA","Other","Gd","High","No","Med",0,0,"GasA","Ex","Y","High","TA","High","Low","High",1995,"Unf",2,672,"TA","TA","Y",392,64,0,"Low","None","None",0,"Med","Med_High",145000,2194,216.206525707366,0.00546946216955333,2,0,1,0,0,0,1,1,1,0
38,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",5,"6",1954,1990,"Med","Low","Med","Low","BrkFace",650,"TA","TA","Stone","TA","High","No","Low",1213,0,"GasA","Med","Y","High","TA","High","TA","High",1954,"Fin",2,498,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",153000,2594,166.368825910044,0.0038550501156515,1,0.00038550501156515,1,1,1,0,1,0,0,0
39,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",5,"7",1953,2007,"Low","Low","VinylSd","VinylSd","None",0,"TA","Gd","Stone","TA","High","No","High",731,0,"GasA","Med","Y","High","Gd","High","Low","Med",1953,"Unf",1,246,"TA","TA","Y",0,52,0,"Low","None","None",0,"Med","Med",109000,2114,157.005617800227,0.00473036896877956,1,0,1,0,1,0,1,0,1,0
40,90,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","fmCon","Med",4,"5",1955,1955,"Low","Low","Low","Med","None",0,"TA","TA","Other","None","Med","None","None",0,0,"GasA","Med","N","Low","Fa","High","Low","Low",9999,"None",0,0,"None","None","N",0,0,0,"Low","None","None",0,"Med","Low",82000,1152,142.717436910902,0.00520833333333333,2,0,1,0,0,0,0,0,0,0
41,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",6,"5",1965,1965,"Low","Low","Med","Low","BrkFace",101,"TA","TA","Stone","TA","High","No","Low",643,0,"GasA","Ex","Y","High","TA","High","TA","High",1965,"RFn",2,440,"TA","TA","Y",0,138,0,"Low","Med","None",0,"Med","Med",160000,2412,177.048374515625,0.00453172205438067,2,0.000414593698175788,1,1,1,0,1,0,1,0
42,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Fam","Med",5,"6",1959,1959,"Low","Low","VinylSd","VinylSd","None",0,"TA","Gd","Stone","TA","High","Gd","Low",967,0,"GasA","Med","Y","High","TA","High","TA","High",1959,"RFn",1,308,"TA","TA","P",0,104,0,"Low","None","None",0,"Med","Med_High",170000,2678,245.019229347047,0.00376506024096386,2,0.000746825989544436,1,0,1,0,1,0,1,0
43,85,"RL","Pave","None","IRG","Lvl","AllPub","CulD","Gtl","True_Med","Fam","Low",5,"7",1983,1983,"Low","Low","High","Med","None",0,"TA","TA","Stone","Gd","High","Med","Med",747,93,"GasA","Med","Y","High","Gd","High","Low","High",1983,"RFn",2,504,"TA","Gd","Y",240,0,0,"Low","Med","None",0,"Med","Med_High",144000,1724,163.747117310093,0.00565610859728507,1,0,1,0,1,1,1,1,0,0
44,20,"RL","Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_High","Fam","Med",5,"6",1975,1980,"Med","Low","VinylSd","VinylSd","None",0,"TA","TA","Stone","Gd","High","Med","Low",280,491,"GasA","Med","Y","High","TA","High","Low","Med",1977,"Unf",1,308,"TA","TA","Y",145,0,0,"Low","Med","None",0,"Med","Med_High",130250,1876,163.904081017484,0.00533049040511727,1,0,1,0,1,1,1,1,0,0
45,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",5,"6",1959,1959,"Low","Low","Highest","Low","None",0,"TA","TA","Stone","TA","High","No","Med",179,506,"GasA","Ex","Y","Med","TA","High","Low","High",1959,"RFn",1,300,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",141000,2300,159.134729482957,0.00521739130434783,1,0,1,0,1,1,1,0,0,0
46,120,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","Med",9,"5",2005,2005,"Med","Low","Med","Low","BrkFace",412,"Ex","TA","Other","Ex","High","No","High",456,0,"GasA","Ex","Y","High","Ex","High","TA","High",2005,"RFn",2,576,"TA","TA","Y",196,82,0,"Low","None","None",0,"Med","Med_High",319900,3504,148.509999428637,0.00342465753424658,2,0.000285388127853881,1,1,1,0,1,1,1,0
47,50,"RL","Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med","Fam","Low",7,"5",2003,2003,"Low","Low","VinylSd","VinylSd","None",0,"Gd","TA","Other","Ex","High","No","High",1351,0,"GasA","Ex","Y","High","Gd","High","Ex","High",2003,"RFn",2,670,"TA","TA","Y",168,43,198,"Low","None","None",0,"Med","Med",239686,3583,161.23427043082,0.0027919962773383,2,0.000279095729835334,1,0,1,0,1,1,1,1
48,20,"FV","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Fam","Med",8,"5",2006,2006,"Low","Low","VinylSd","VinylSd","None",0,"Gd","TA","Other","Gd","High","Med","High",24,0,"GasA","Ex","Y","High","Gd","High","Low","High",2006,"RFn",3,826,"TA","TA","Y",0,146,0,"Low","None","None",0,"Med","Med_High",249700,3312,189.33755265811,0.00422705314009662,2,0,1,0,1,0,1,0,1,0
49,190,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","fmCon","High",4,"5",1920,2008,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","Med",0,0,"GasA","Med","Y","High","TA","High","Low","Low",9999,"None",0,0,"None","None","N",0,0,0,"Low","None","None",0,"High","High",113000,2188,99.7532770731145,0.00550964187327824,2,0,1,0,0,0,0,0,0,0
50,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",5,"7",1966,1966,"Low","Low","High","Med","None",0,"TA","TA","Stone","TA","High","No","Low",763,0,"GasA","Ex","Y","High","TA","High","Low","High",1966,"Unf",1,386,"TA","TA","Y",0,0,0,"Low","Med","None",0,"Med","Med_High",127000,1910,153.988635629836,0.00628272251308901,1,0,1,0,1,0,1,0,0,0
51,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","High",6,"6",1997,1997,"Low","Low","VinylSd","VinylSd","None",0,"TA","TA","Other","Gd","High","Med","High",182,0,"GasA","Med","Y","High","TA","High","Low","High",1997,"Fin",2,388,"TA","TA","Y",0,75,0,"Low","None","None",0,"Med","Med_High",177000,2264,198.045259588672,0.00408163265306122,2,0,1,0,1,0,1,0,1,0
52,50,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Fam","Low",6,"6",1934,1950,"Low","Low","Med","Low","None",0,"TA","TA","Other","TA","High","No","Med",0,0,"GasA","Med","Y","High","TA","High","TA","Med",1985,"Unf",2,528,"TA","TA","Y",112,0,0,"Low","Med","Shed",400,"Med","Med_High",114500,1632,130.993670632526,0.00735294117647059,1,0.000612745098039216,0,0,0,0,1,1,0,0
53,90,"Othr","Grvl","None","IRG","Bnk","AllPub","NotCulD","Othr","Lowest","fmCon","Med",5,"5",1963,1963,"Low","Low","Med","Low","None",0,"Fa","TA","Stone","Gd","High","Gd","Low",104,712,"GasA","Med","N","High","TA","High","Low","Low",1963,"Unf",2,516,"TA","TA","Y",106,0,0,"Low","None","None",0,"Med","Med_High",110000,1632,202.043467992031,0.00612745098039216,1,0,1,0,1,1,1,1,0,0
54,20,"RL","Pave","None","IRG","Low","AllPub","NotCulD","Gtl","High","Fam","Med",9,"5",1981,1987,"Low","High","Med","Low","None",0,"Gd","TA","Stone","Ex","High","Gd","High",1810,0,"GasA","Med","Y","High","Gd","High","TA","High",1981,"Fin",3,894,"TA","TA","Y",857,72,0,"Low","None","None",0,"Med","Med_High",385000,3684,292.211953294199,0.00271444082519001,1,0.000271444082519001,1,0,1,0,1,1,1,0
55,80,"RL","Pave","None","Reg","Bnk","AllPub","NotCulD","Othr","Med_Low","Fam","Med",5,"5",1955,1955,"Low","Low","Med","Low","None",0,"TA","TA","Stone","TA","High","No","Med",384,0,"GasA","Med","Y","High","TA","Med","TA","Med",1962,"Unf",2,572,"TA","TA","Y",0,50,0,"Low","Med","None",0,"Med","Med_High",130000,1744,144.463009655115,0.00441176470588235,1,0.000573394495412844,1,0,1,0,1,0,1,0
56,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",6,"5",1964,1964,"Low","Low","High","Med","BrkFace",272,"TA","TA","Stone","TA","High","No","Low",490,0,"GasA","Med","Y","High","TA","High","TA","High",1964,"RFn",2,576,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",180500,2850,200.87120500916,0.00491228070175439,2,0.000350877192982456,1,1,1,0,1,0,0,0
57,160,"FV","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","fmCon","High",8,"5",1999,2000,"Low","Low","Med","Low","BrkFace",456,"Gd","TA","Other","Gd","High","No","High",649,0,"GasA","Ex","Y","High","Gd","High","Low","High",1999,"Fin",2,480,"TA","TA","Y",115,0,0,"Low","None","None",0,"Med","Med",172500,2709,75.4295634824952,0.00402530189764232,3,0,1,1,1,0,1,1,0,0
