"Id","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","DtSold"
79,"None",0,0,"None","None","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-04-01
80,"Unf",2,440,"TA","TA","Y",74,0,128,0,0,0,"None","MnPrv","None",0,"WD","Normal",2009-05-01
81,"Fin",1,509,"TA","TA","Y",0,72,0,0,252,0,"None","None","None",0,"WD","Normal",2009-06-01
82,"Fin",2,405,"TA","TA","Y",0,199,0,0,0,0,"None","None","None",0,"WD","Normal",2006-03-01
83,"RFn",3,758,"TA","TA","Y",144,99,0,0,0,0,"None","None","None",0,"WD","Normal",2008-10-01
84,"Unf",2,461,"TA","TA","Y",74,0,0,0,0,0,"None","None","None",0,"COD","Normal",2007-07-01
85,"Fin",2,400,"TA","TA","Y",120,72,0,0,0,0,"None","None","Shed",700,"WD","Normal",2009-05-01
86,"Unf",2,462,"TA","TA","Y",127,82,0,0,0,0,"None","None","None",0,"WD","Normal",2006-04-01
87,"Fin",2,400,"TA","TA","Y",100,38,0,0,0,0,"None","None","None",0,"WD","Normal",2009-03-01
88,"RFn",2,528,"TA","TA","Y",0,234,0,0,0,0,"None","None","None",0,"New","Partial",2009-06-01
89,"None",0,0,"None","None","N",0,0,156,0,0,0,"None","MnPrv","None",0,"ConLD","Abnorml",2009-10-01
90,"None",0,0,"None","None","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-08-01
91,"Unf",2,420,"TA","TA","Y",0,29,0,0,0,0,"None","None","None",0,"WD","Normal",2006-07-01
92,"Unf",2,480,"TA","TA","Y",0,0,0,0,0,0,"None","GdWo","None",0,"WD","Abnorml",2006-12-01
93,"Unf",2,432,"TA","TA","Y",0,0,44,0,0,0,"None","None","None",0,"WD","Normal",2009-08-01
94,"Unf",2,506,"TA","TA","Y",0,0,0,0,99,0,"None","None","None",0,"WD","Normal",2007-11-01
95,"RFn",2,684,"TA","TA","Y",0,162,0,0,0,0,"None","None","None",0,"WD","Normal",2007-05-01
96,"Fin",2,420,"TA","TA","Y",232,63,0,0,0,0,"None","None","Shed",480,"WD","Normal",2009-04-01
97,"RFn",2,472,"TA","TA","Y",158,29,0,0,0,0,"None","None","None",0,"WD","Normal",2006-08-01
98,"Fin",1,432,"TA","TA","P",120,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-05-01
99,"Unf",1,366,"Fa","TA","Y",0,0,77,0,0,0,"None","None","Shed",400,"COD","Abnorml",2010-05-01
100,"None",0,0,"None","None","Y",352,0,0,0,0,0,"None","None","Shed",400,"WD","Normal",2010-01-01
101,"RFn",2,480,"TA","TA","Y",168,68,0,0,0,0,"None","None","None",0,"WD","Normal",2010-02-01
102,"Fin",2,476,"TA","TA","Y",192,46,0,0,0,0,"None","None","None",0,"WD","Normal",2010-06-01
103,"Unf",2,410,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Alloca",2009-06-01
104,"RFn",3,740,"TA","TA","Y",0,36,0,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
105,"Unf",1,240,"TA","TA","Y",0,0,0,0,184,0,"None","None","None",0,"WD","Normal",2007-06-01
106,"RFn",2,648,"TA","TA","Y",140,45,0,0,0,0,"None","None","None",0,"WD","Normal",2008-08-01
107,"Unf",1,273,"Fa","Fa","N",0,0,0,0,0,0,"None","None","Shed",450,"WD","Normal",2007-08-01
108,"Unf",1,250,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Partial",2008-04-01
109,"None",0,0,"None","None","N",0,0,144,0,0,0,"None","None","None",0,"WD","Normal",2007-08-01
110,"RFn",2,546,"TA","TA","Y",0,122,0,0,0,0,"None","MnPrv","None",0,"COD","Normal",2010-01-01
111,"Unf",1,325,"TA","TA","Y",182,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-10-01
112,"Fin",2,400,"TA","TA","Y",180,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-04-01
113,"Fin",3,792,"TA","TA","Y",120,184,0,0,168,0,"None","None","None",0,"New","Partial",2007-10-01
114,"Unf",2,450,"TA","TA","Y",166,120,192,0,0,0,"None","MnPrv","None",0,"COD","Abnorml",2007-10-01
115,"Unf",1,180,"TA","TA","Y",224,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2007-07-01
116,"Unf",2,440,"TA","TA","Y",0,32,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
117,"Unf",1,288,"TA","TA","Y",0,20,144,0,0,0,"None","None","None",0,"WD","Normal",2009-09-01
118,"Unf",2,430,"TA","TA","Y",80,64,0,0,0,0,"None","None","None",0,"New","Partial",2007-04-01
119,"Unf",3,594,"TA","TA","Y",367,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
120,"Fin",2,390,"TA","TA","Y",0,24,0,0,0,0,"None","None","None",0,"New","Partial",2006-07-01
121,"Unf",2,540,"TA","TA","Y",0,130,0,130,0,0,"None","None","None",0,"WD","Normal",2006-10-01
122,"Unf",1,264,"TA","TA","P",0,0,140,0,0,0,"None","MnPrv","None",0,"WD","Normal",2007-06-01
123,"Unf",1,288,"TA","TA","Y",0,0,0,0,130,0,"None","None","None",0,"WD","Normal",2008-06-01
124,"RFn",2,530,"TA","TA","Y",0,63,0,0,0,0,"None","None","None",0,"WD","Normal",2008-03-01
125,"Unf",2,435,"TA","TA","Y",192,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-01-01
126,"None",0,0,"None","None","N",53,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-06-01
127,"RFn",2,440,"TA","TA","Y",0,205,0,0,0,0,"None","None","None",0,"WD","Normal",2007-02-01
128,"None",0,0,"None","None","N",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
129,"RFn",2,453,"TA","TA","Y",188,108,0,0,0,0,"None","None","None",0,"WD","Normal",2006-07-01
130,"RFn",2,750,"TA","TA","Y",0,80,0,180,0,0,"None","MnWw","None",0,"WD","Abnorml",2006-07-01
131,"Fin",2,487,"TA","TA","Y",105,66,0,0,0,0,"None","GdPrv","None",0,"WD","Normal",2006-05-01
132,"RFn",2,390,"TA","TA","Y",24,48,0,0,0,0,"None","None","None",0,"WD","Normal",2009-07-01
133,"Unf",2,624,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
134,"Fin",2,471,"TA","TA","Y",192,25,0,0,0,0,"None","None","None",0,"WD","Normal",2009-06-01
135,"RFn",2,440,"TA","TA","Y",0,96,180,0,0,0,"None","MnPrv","None",0,"WD","Normal",2006-07-01
136,"Unf",2,530,"TA","TA","Y",98,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2008-05-01
137,"RFn",1,318,"TA","TA","Y",0,111,0,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
138,"Unf",3,766,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Family",2006-07-01
139,"Fin",3,660,"TA","TA","Y",224,106,0,0,0,0,"None","GdPrv","None",0,"WD","Normal",2008-12-01
140,"RFn",2,470,"TA","TA","Y",276,99,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2009-08-01
141,"None",0,0,"None","None","Y",0,0,0,0,0,0,"None","None","None",0,"ConLI","Normal",2010-04-01
142,"Fin",2,660,"TA","TA","Y",160,24,0,0,0,0,"None","None","None",0,"WD","Normal",2006-01-01
143,"Unf",2,720,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2010-06-01
144,"RFn",2,577,"TA","TA","Y",144,29,0,0,0,0,"None","None","None",0,"WD","Normal",2009-06-01
145,"Unf",2,504,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"ConLI","Abnorml",2006-11-01
146,"Unf",2,380,"TA","TA","Y",0,40,0,0,0,0,"None","None","None",0,"WD","Normal",2006-04-01
147,"Unf",1,180,"Fa","TA","Y",48,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-11-01
148,"Fin",2,434,"TA","TA","Y",144,48,0,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
149,"None",0,0,"None","None","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-04-01
150,"Unf",1,240,"Fa","TA","Y",200,114,0,0,0,0,"None","None","None",0,"WD","Normal",2006-04-01
151,"Unf",2,440,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2007-01-01
152,"RFn",3,866,"TA","TA","Y",0,102,0,0,0,0,"None","None","None",0,"New","Partial",2008-01-01
153,"RFn",2,495,"TA","TA","Y",0,66,0,0,0,0,"None","GdWo","None",0,"WD","Normal",2006-06-01
154,"RFn",2,564,"TA","TA","Y",409,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-03-01
155,"Unf",1,312,"Fa","Fa","Y",0,0,228,0,0,0,"None","None","None",0,"WD","Family",2006-03-01
156,"None",0,0,"None","None","N",0,8,128,0,0,0,"None","None","None",0,"WD","Normal",2008-04-01
157,"Unf",2,625,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-06-01
158,"Fin",3,680,"TA","TA","Y",0,75,0,0,0,0,"None","None","None",0,"New","Partial",2010-05-01
159,"RFn",2,678,"TA","TA","Y",0,136,0,0,0,0,"None","GdWo","None",0,"WD","Normal",2010-05-01
160,"RFn",2,576,"TA","TA","Y",239,132,0,168,0,0,"None","None","None",0,"New","Partial",2006-03-01
161,"Unf",2,516,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-06-01
162,"Fin",3,726,"TA","TA","Y",400,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-03-01
163,"RFn",2,532,"TA","TA","Y",0,70,0,0,0,0,"None","None","None",0,"New","Partial",2010-05-01
164,"None",0,0,"None","None","Y",0,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2007-04-01
165,"Unf",1,216,"TA","TA","Y",0,0,183,0,0,0,"None","None","None",0,"WD","Normal",2007-10-01
166,"None",0,0,"None","None","Y",140,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-09-01
167,"Fin",1,303,"TA","TA","Y",476,0,0,0,142,0,"None","GdWo","None",0,"COD","Normal",2009-11-01
168,"Fin",3,789,"TA","TA","Y",178,120,0,0,0,0,"None","None","None",0,"New","Partial",2007-11-01
169,"Fin",2,440,"TA","TA","Y",100,48,0,0,0,0,"None","None","None",0,"WD","Normal",2007-05-01
170,"RFn",2,511,"TA","TA","Y",574,64,0,0,0,0,"None","None","None",0,"WD","Normal",2006-01-01
171,"Unf",2,660,"TA","TA","Y",237,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-05-01
172,"Fin",2,528,"TA","TA","P",210,62,0,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
173,"RFn",2,504,"Gd","TA","Y",441,35,0,0,0,0,"None","None","None",0,"WD","Normal",2006-06-01
174,"Unf",2,504,"TA","TA","Y",0,20,0,0,0,0,"None","None","None",0,"COD","Normal",2008-06-01
175,"Fin",2,616,"TA","TA","Y",192,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-11-01
176,"Unf",2,576,"TA","TA","Y",0,29,39,0,0,0,"None","MnPrv","None",0,"WD","Normal",2007-06-01
177,"Unf",2,521,"TA","TA","Y",0,228,0,0,192,0,"None","None","None",0,"WD","Normal",2007-09-01
178,"Unf",2,451,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-07-01
179,"Fin",3,1166,"TA","TA","Y",0,60,0,0,0,0,"None","None","None",0,"New","Partial",2009-07-01
180,"Unf",2,480,"Fa","TA","N",0,0,184,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
181,"Unf",2,440,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
182,"Unf",1,216,"Fa","TA","Y",0,0,40,0,0,0,"None","None","None",0,"WD","Normal",2006-07-01
183,"RFn",1,252,"TA","TA","Y",116,0,0,180,0,0,"None","MnPrv","None",0,"WD","Normal",2007-06-01
184,"Unf",2,484,"TA","TA","N",280,238,0,0,0,0,"None","None","None",0,"WD","Normal",2008-06-01
185,"Unf",2,576,"TA","TA","Y",104,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2006-06-01
186,"Unf",3,840,"Ex","TA","Y",0,260,0,0,410,0,"None","GdPrv","None",0,"WD","Normal",2006-06-01
187,"Unf",2,497,"TA","TA","Y",168,27,0,0,0,0,"None","GdPrv","None",0,"WD","Normal",2009-06-01
188,"Unf",1,180,"Fa","Fa","N",0,0,0,140,0,0,"None","MnPrv","None",0,"WD","Normal",2009-08-01
189,"Unf",2,528,"TA","TA","Y",120,0,0,0,0,0,"None","None","None",0,"WD","Alloca",2009-06-01
190,"Fin",2,682,"TA","TA","Y",0,120,0,0,224,0,"None","None","None",0,"WD","Normal",2008-08-01
191,"Unf",2,440,"TA","TA","Y",0,74,0,0,0,0,"None","None","None",0,"WD","Normal",2007-12-01
192,"Fin",2,484,"TA","TA","Y",0,32,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
193,"Fin",2,666,"TA","TA","Y",0,35,0,0,0,0,"None","None","None",0,"WD","Normal",2009-09-01
194,"Unf",2,380,"TA","TA","Y",0,40,0,0,0,0,"None","None","None",0,"WD","Normal",2006-05-01
195,"Unf",1,352,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-05-01
196,"Unf",2,440,"TA","TA","Y",87,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-07-01
197,"Fin",3,786,"TA","TA","Y",171,138,0,0,266,0,"None","None","None",0,"New","Partial",2007-09-01
198,"Unf",2,795,"TA","TA","Y",0,16,552,0,0,512,"Ex","GdPrv","None",0,"WD","Abnorml",2006-03-01
199,"None",0,0,"None","None","Y",0,198,30,0,0,0,"None","MnPrv","None",0,"WD","Abnorml",2009-07-01
200,"Fin",3,856,"TA","TA","Y",0,26,0,0,170,0,"None","None","None",0,"WD","Normal",2009-01-01
201,"RFn",2,440,"TA","TA","Y",132,64,0,0,0,0,"None","None","None",0,"WD","Normal",2010-03-01
202,"Unf",2,473,"TA","TA","Y",238,83,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2008-02-01
203,"Unf",1,398,"TA","TA","Y",0,0,126,0,0,0,"None","None","None",0,"COD","Normal",2006-05-01
204,"RFn",2,420,"TA","TA","Y",149,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-01-01
205,"Unf",1,240,"TA","TA","Y",0,35,0,0,0,0,"None","MnWw","None",0,"WD","Normal",2009-04-01
206,"RFn",2,500,"TA","TA","Y",0,34,0,508,0,0,"None","None","None",0,"WD","Normal",2009-05-01
207,"RFn",1,349,"TA","TA","Y",0,30,0,0,0,0,"None","None","None",0,"WD","Normal",2007-03-01
208,"RFn",1,312,"TA","TA","Y",355,0,0,0,0,0,"None","GdWo","None",0,"WD","Normal",2008-04-01
209,"Fin",2,454,"TA","TA","Y",60,55,0,0,154,0,"None","None","None",0,"WD","Normal",2007-04-01
210,"RFn",2,504,"TA","Gd","Y",0,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2008-07-01
211,"None",0,0,"None","None","Y",0,0,96,0,0,0,"None","None","None",0,"WD","Normal",2008-04-01
212,"RFn",2,460,"TA","TA","Y",100,22,0,0,0,0,"None","None","None",0,"WD","Normal",2010-03-01
213,"RFn",2,644,"TA","TA","Y",168,108,0,0,0,0,"None","None","None",0,"New","Partial",2009-07-01
214,"Unf",2,576,"TA","TA","Y",224,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-07-01
215,"Fin",1,299,"TA","TA","Y",0,36,0,0,0,0,"None","MnPrv","Shed",450,"WD","Normal",2010-03-01
216,"Unf",1,447,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2006-05-01
217,"Unf",2,484,"TA","TA","Y",139,98,0,0,0,0,"None","None","None",0,"WD","Normal",2008-04-01
218,"Unf",1,210,"TA","TA","Y",0,172,60,0,0,0,"None","None","None",0,"WD","Family",2006-09-01
219,"Unf",2,431,"TA","TA","Y",0,119,150,0,0,0,"None","None","None",0,"WD","Normal",2008-05-01
220,"Fin",2,438,"TA","TA","Y",108,0,0,0,0,0,"None","None","None",0,"New","Partial",2006-03-01
221,"RFn",2,675,"TA","TA","Y",351,33,0,0,0,0,"None","None","None",0,"New","Partial",2006-04-01
222,"RFn",2,390,"TA","TA","Y",120,46,0,0,0,0,"None","None","None",0,"ConLI","Normal",2009-12-01
223,"RFn",2,434,"TA","TA","Y",209,208,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2006-02-01
224,"Unf",2,576,"TA","TA","Y",216,0,0,0,0,0,"None","None","None",0,"WD","Abnorml",2009-03-01
225,"Fin",3,968,"TA","TA","Y",248,105,0,0,0,0,"None","None","None",0,"WD","Normal",2009-06-01
226,"Unf",1,280,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"COD","Abnorml",2009-05-01
227,"RFn",3,721,"TA","TA","Y",224,114,0,0,0,0,"None","None","None",0,"WD","Abnorml",2007-06-01
228,"Unf",1,280,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-09-01
229,"Unf",1,336,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2010-05-01
230,"Fin",2,430,"TA","TA","Y",143,20,0,0,0,0,"None","None","None",0,"WD","Normal",2009-05-01
231,"RFn",1,312,"TA","TA","Y",0,0,120,0,0,0,"None","None","None",0,"WD","Normal",2010-04-01
232,"Fin",3,810,"TA","TA","Y",0,146,202,0,0,0,"None","None","None",0,"WD","Normal",2009-07-01
233,"Unf",1,288,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-06-01
234,"Unf",1,308,"TA","TA","Y",365,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2010-02-01
235,"Fin",2,440,"TA","TA","Y",288,48,0,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
236,"Unf",1,264,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-08-01
237,"RFn",2,494,"TA","TA","Y",132,105,0,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
