"Id","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt"
55,"TA","Y","SBrkr",1360,0,0,1360,0,0,1,0,3,1,"TA",6,"Min1",1,"TA","Detchd","1962"
56,"Gd","Y","SBrkr",1425,0,0,1425,0,0,2,0,3,1,"TA",7,"Typ",1,"Gd","Attchd","1964"
57,"Ex","Y","SBrkr",983,756,0,1739,1,0,2,1,3,1,"Gd",7,"Typ",0,"None","Attchd","1999"
58,"Ex","Y","SBrkr",860,860,0,1720,0,0,2,1,3,1,"Gd",7,"Typ",0,"None","Attchd","2004"
59,"Ex","Y","SBrkr",1426,1519,0,2945,0,0,3,1,3,1,"Gd",10,"Typ",1,"Gd","BuiltIn","2006"
60,"Ex","Y","SBrkr",780,0,0,780,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd","1973"
61,"Ex","Y","SBrkr",1158,0,0,1158,1,0,1,1,3,1,"Gd",5,"Typ",0,"None","Detchd","2006"
62,"TA","N","SBrkr",581,530,0,1111,0,0,1,0,3,1,"Fa",6,"Typ",0,"None","Detchd","1935"
63,"Ex","Y","SBrkr",1370,0,0,1370,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd","2006"
64,"Gd","Y","SBrkr",902,808,0,1710,0,0,2,0,3,1,"TA",9,"Typ",0,"None","Detchd","1990"
65,"Ex","Y","SBrkr",1057,977,0,2034,1,0,2,1,3,1,"Gd",8,"Typ",0,"None","Attchd","1998"
66,"Ex","Y","SBrkr",1143,1330,0,2473,0,0,2,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn","2004"
67,"TA","Y","SBrkr",2207,0,0,2207,1,0,2,0,3,1,"TA",7,"Min1",1,"Gd","Attchd","1970"
68,"Ex","Y","SBrkr",1479,0,0,1479,1,0,2,0,3,1,"Gd",7,"Typ",0,"None","Attchd","2003"
69,"TA","Y","SBrkr",747,0,0,747,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Attchd","1945"
70,"TA","Y","SBrkr",1304,983,0,2287,0,0,2,0,3,1,"TA",7,"Typ",1,"TA","Attchd","1953"
71,"Ex","Y","SBrkr",2223,0,0,2223,1,0,2,0,3,1,"TA",8,"Typ",2,"Gd","Attchd","1973"
72,"TA","Y","SBrkr",845,0,0,845,1,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd","1987"
73,"Gd","Y","SBrkr",885,833,0,1718,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd","1998"
74,"Gd","Y","SBrkr",1086,0,0,1086,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd","1989"
75,"Gd","N","SBrkr",840,765,0,1605,0,0,2,0,3,2,"TA",8,"Typ",0,"None","Detchd","1915"
76,"TA","Y","SBrkr",526,462,0,988,1,0,1,0,2,1,"TA",5,"Typ",0,"None","BuiltIn","1973"
77,"Ex","Y","FuseA",952,0,0,952,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd","1956"
78,"TA","Y","SBrkr",1072,213,0,1285,1,0,1,0,2,1,"TA",6,"Min1",0,"None","Detchd","1948"
79,"TA","N","SBrkr",1768,0,0,1768,0,0,2,0,4,2,"TA",8,"Typ",0,"None","None","None"
80,"Gd","Y","SBrkr",682,548,0,1230,0,0,1,1,2,1,"TA",5,"Typ",0,"None","Detchd","1966"
81,"TA","Y","SBrkr",1182,960,0,2142,0,0,2,1,4,1,"Gd",8,"Typ",1,"Gd","Attchd","1968"
82,"Ex","Y","SBrkr",1337,0,0,1337,1,0,2,0,2,1,"TA",5,"Typ",0,"None","Attchd","1998"
83,"Ex","Y","SBrkr",1563,0,0,1563,0,0,2,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd","2007"
84,"Gd","Y","SBrkr",1065,0,0,1065,0,0,1,1,3,1,"TA",6,"Typ",0,"None","Detchd","1974"
85,"Gd","Y","SBrkr",804,670,0,1474,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","BuiltIn","1995"
86,"Ex","Y","SBrkr",1301,1116,0,2417,0,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd","1991"
87,"Ex","Y","SBrkr",684,876,0,1560,0,0,2,1,3,1,"Gd",6,"Typ",1,"Gd","BuiltIn","2005"
88,"Ex","Y","SBrkr",612,612,0,1224,0,0,2,1,2,1,"Gd",4,"Typ",0,"None","Detchd","2009"
89,"TA","N","SBrkr",1013,0,513,1526,0,0,1,0,2,1,"Fa",6,"Typ",0,"None","None","None"
90,"Ex","Y","SBrkr",990,0,0,990,1,0,1,0,3,1,"TA",5,"Typ",0,"None","None","None"
91,"TA","Y","FuseA",1040,0,0,1040,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd","1950"
92,"TA","Y","SBrkr",1235,0,0,1235,0,0,1,0,2,1,"TA",6,"Typ",0,"None","Attchd","1961"
93,"Ex","Y","SBrkr",964,0,0,964,1,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd","1921"
94,"Ex","N","SBrkr",1260,1031,0,2291,0,1,2,0,4,2,"TA",9,"Typ",1,"Gd","Detchd","1900"
95,"Ex","Y","SBrkr",905,881,0,1786,1,0,2,1,3,1,"Gd",7,"Typ",0,"None","Attchd","1997"
96,"Gd","Y","SBrkr",680,790,0,1470,0,0,2,1,3,1,"TA",6,"Typ",1,"TA","BuiltIn","1993"
97,"Ex","Y","SBrkr",1588,0,0,1588,0,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd","1999"
98,"TA","Y","FuseF",960,0,0,960,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd","1965"
99,"Fa","N","SBrkr",835,0,0,835,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Basment","1920"
100,"Fa","Y","SBrkr",1225,0,0,1225,1,0,1,1,3,1,"TA",6,"Typ",0,"None","None","None"
101,"Gd","Y","SBrkr",1610,0,0,1610,1,0,2,0,3,1,"Gd",6,"Typ",2,"TA","Attchd","1977"
102,"TA","Y","SBrkr",977,755,0,1732,0,0,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd","1985"
103,"TA","Y","SBrkr",1535,0,0,1535,0,0,2,0,4,2,"TA",8,"Typ",0,"None","Attchd","1979"
104,"Ex","Y","SBrkr",1226,0,0,1226,0,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd","2009"
105,"Ex","Y","FuseF",1226,592,0,1818,0,0,1,1,4,1,"TA",7,"Typ",2,"TA","Detchd","1951"
106,"Ex","Y","SBrkr",1053,939,0,1992,0,0,2,1,3,1,"Gd",9,"Typ",1,"Gd","Attchd","2003"
107,"Gd","Y","SBrkr",1047,0,0,1047,0,0,1,0,2,1,"TA",6,"Typ",0,"None","Detchd","1954"
108,"Ex","Y","SBrkr",789,0,0,789,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd","1948"
109,"TA","N","FuseF",997,520,0,1517,0,0,2,0,3,1,"Fa",7,"Typ",0,"None","None","None"
110,"Ex","Y","SBrkr",1844,0,0,1844,0,0,2,0,3,1,"TA",7,"Typ",1,"TA","Attchd","1977"
111,"Gd","Y","SBrkr",1216,639,0,1855,0,0,2,0,4,1,"TA",7,"Typ",0,"None","Attchd","1954"
112,"Ex","Y","SBrkr",774,656,0,1430,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","BuiltIn","2000"
113,"Ex","Y","SBrkr",1282,1414,0,2696,1,0,2,1,4,1,"Ex",10,"Typ",1,"Gd","BuiltIn","2007"
114,"TA","Y","SBrkr",2259,0,0,2259,1,0,2,0,3,1,"Gd",7,"Typ",2,"Gd","Basment","1953"
115,"Ex","Y","SBrkr",1436,884,0,2320,1,0,2,1,3,1,"Gd",9,"Typ",1,"TA","Detchd","1945"
116,"Gd","Y","SBrkr",729,729,0,1458,0,0,2,1,2,1,"TA",5,"Typ",1,"Fa","Detchd","1999"
117,"TA","Y","SBrkr",1092,0,0,1092,0,1,1,0,3,1,"TA",6,"Typ",1,"Po","Attchd","1962"
118,"Gd","Y","SBrkr",1125,0,0,1125,0,0,1,1,2,1,"TA",5,"Typ",0,"None","Attchd","2007"
119,"Gd","Y","SBrkr",1699,1523,0,3222,1,0,3,0,5,1,"Gd",11,"Typ",2,"TA","Attchd","1990"
120,"Ex","Y","SBrkr",728,728,0,1456,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd","2005"
121,"Ex","Y","SBrkr",988,0,0,988,1,0,1,0,1,1,"TA",4,"Typ",2,"TA","Attchd","1969"
122,"Gd","Y","SBrkr",772,351,0,1123,0,0,1,0,3,1,"TA",4,"Typ",0,"None","Detchd","1979"
123,"Gd","Y","SBrkr",1080,0,0,1080,0,0,1,0,3,1,"TA",5,"Typ",0,"None","Attchd","1958"
124,"Ex","Y","SBrkr",1199,0,0,1199,0,0,2,0,2,1,"Gd",5,"Typ",0,"None","Attchd","1993"
125,"TA","Y","SBrkr",1586,0,0,1586,0,0,2,0,3,1,"TA",7,"Typ",1,"TA","Attchd","1979"
126,"Gd","N","SBrkr",520,0,234,754,1,0,1,0,2,1,"TA",5,"Typ",0,"None","None","None"
127,"TA","Y","SBrkr",958,0,0,958,0,0,2,0,2,1,"TA",5,"Typ",1,"TA","Attchd","1977"
128,"Ex","Y","SBrkr",840,0,0,840,0,0,1,0,3,1,"TA",5,"Typ",1,"TA","None","None"
129,"TA","Y","SBrkr",660,688,0,1348,0,0,1,1,3,1,"TA",6,"Typ",1,"Fa","Attchd","1966"
130,"TA","Y","FuseA",1053,0,0,1053,0,1,1,1,3,1,"Ex",6,"Typ",0,"None","2Types","1998"
131,"Ex","Y","SBrkr",1216,941,0,2157,0,0,2,1,4,1,"Gd",8,"Typ",2,"Gd","Attchd","1966"
132,"Ex","Y","SBrkr",1022,1032,0,2054,1,0,2,1,3,1,"Gd",7,"Typ",1,"TA","BuiltIn","2000"
133,"Gd","Y","SBrkr",1327,0,0,1327,1,0,1,0,3,1,"Gd",7,"Typ",0,"None","Detchd","1974"
134,"Ex","Y","SBrkr",1296,0,0,1296,1,0,2,0,2,1,"Gd",6,"Typ",0,"None","Attchd","2001"
135,"Gd","Y","SBrkr",1721,0,0,1721,0,0,2,1,3,1,"TA",7,"Min1",1,"TA","Attchd","1968"
136,"Gd","Y","SBrkr",1682,0,0,1682,0,0,2,0,3,1,"TA",7,"Typ",1,"Gd","Attchd","1970"
137,"TA","Y","SBrkr",1214,0,0,1214,0,0,2,0,3,1,"TA",5,"Typ",1,"Fa","Attchd","1967"
138,"Gd","Y","SBrkr",1959,0,0,1959,0,0,3,0,5,2,"TA",9,"Typ",0,"None","2Types","1989"
139,"Ex","Y","SBrkr",1004,848,0,1852,0,0,2,1,3,1,"Gd",7,"Typ",2,"TA","Attchd","1999"
140,"Ex","Y","SBrkr",928,836,0,1764,1,0,2,1,3,1,"Gd",7,"Typ",0,"None","Attchd","1997"
141,"TA","Y","SBrkr",864,0,0,864,0,0,1,0,3,1,"TA",5,"Typ",1,"Po","None","None"
142,"Ex","Y","SBrkr",1734,0,0,1734,1,0,2,0,3,1,"Gd",7,"Typ",0,"None","Attchd","2005"
143,"Fa","Y","SBrkr",910,475,0,1385,0,0,2,0,4,1,"TA",6,"Typ",0,"None","Detchd","2000"
144,"Ex","Y","SBrkr",1501,0,0,1501,1,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd","1999"
145,"TA","Y","SBrkr",1728,0,0,1728,1,0,2,0,6,2,"TA",10,"Typ",0,"None","Detchd","1963"
146,"Ex","Y","SBrkr",970,739,0,1709,0,0,2,0,3,1,"Gd",7,"Maj1",0,"None","Detchd","2004"
147,"TA","Y","FuseA",875,0,0,875,1,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd","1931"
148,"Ex","Y","SBrkr",884,1151,0,2035,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","BuiltIn","2001"
149,"Ex","Y","SBrkr",1080,0,0,1080,1,0,1,0,3,1,"Gd",6,"Typ",0,"None","None","None"
150,"Gd","Y","FuseA",896,448,0,1344,0,0,1,0,3,1,"TA",7,"Typ",0,"None","Detchd","1936"
151,"TA","Y","SBrkr",969,0,0,969,0,0,1,1,3,1,"TA",5,"Typ",0,"None","Attchd","1975"
152,"Ex","Y","SBrkr",1710,0,0,1710,1,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd","2007"
153,"Gd","Y","SBrkr",1097,896,0,1993,0,0,2,1,4,1,"TA",8,"Typ",1,"Gd","Attchd","1971"
154,"Gd","Y","SBrkr",1252,0,0,1252,1,0,1,0,1,1,"TA",4,"Typ",1,"Gd","Attchd","1960"
155,"TA","Y","FuseA",1200,0,0,1200,0,0,1,0,4,1,"TA",7,"Typ",0,"None","Detchd","1923"
156,"Fa","N","FuseF",572,524,0,1096,0,0,1,0,2,1,"TA",5,"Typ",0,"None","None","None"
157,"TA","Y","FuseF",1040,0,0,1040,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd","1950"
158,"Ex","Y","SBrkr",774,1194,0,1968,0,0,2,1,4,1,"Ex",8,"Typ",1,"Gd","BuiltIn","2009"
159,"Ex","Y","SBrkr",991,956,0,1947,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd","2004"
160,"Ex","Y","SBrkr",1392,1070,0,2462,1,0,2,1,4,1,"Gd",9,"Typ",1,"Gd","Attchd","2006"
161,"TA","Y","SBrkr",1232,0,0,1232,0,0,2,0,3,1,"TA",6,"Typ",0,"None","Attchd","1984"
162,"Ex","Y","SBrkr",1572,1096,0,2668,1,0,2,1,3,1,"Ex",10,"Typ",2,"Gd","BuiltIn","2003"
163,"Ex","Y","SBrkr",1541,0,0,1541,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","2005"
164,"Ex","Y","SBrkr",882,0,0,882,0,0,1,0,1,1,"TA",4,"Typ",0,"None","None","None"
165,"Gd","Y","FuseA",1149,467,0,1616,0,0,2,0,3,1,"Gd",5,"Typ",0,"None","Detchd","1926"
166,"Gd","Y","SBrkr",808,547,0,1355,1,0,2,0,4,2,"TA",6,"Typ",0,"None","None","None"
167,"Ex","Y","FuseA",1867,0,0,1867,1,0,1,0,2,1,"TA",7,"Typ",3,"Gd","Attchd","1955"
168,"Ex","Y","SBrkr",1610,551,0,2161,1,0,1,1,3,1,"Ex",8,"Typ",1,"Gd","Attchd","2007"
169,"Ex","Y","SBrkr",840,880,0,1720,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd","2004"
170,"TA","Y","SBrkr",1707,0,0,1707,0,0,2,1,2,1,"TA",6,"Typ",1,"TA","Attchd","1981"
171,"TA","Y","SBrkr",854,0,528,1382,0,0,1,1,2,1,"TA",7,"Typ",0,"None","Detchd","1991"
172,"Fa","Y","SBrkr",1656,0,0,1656,1,0,1,0,3,1,"TA",7,"Typ",2,"Gd","Attchd","1960"
173,"Gd","Y","SBrkr",1064,703,0,1767,1,0,2,0,2,1,"Gd",5,"Typ",1,"TA","Attchd","1987"
174,"TA","Y","SBrkr",1362,0,0,1362,1,0,1,1,3,1,"TA",6,"Typ",1,"TA","Attchd","1961"
175,"TA","Y","SBrkr",1651,0,0,1651,1,0,2,0,3,1,"TA",7,"Min2",1,"TA","Attchd","1986"
176,"TA","Y","SBrkr",2158,0,0,2158,1,0,2,0,4,1,"Gd",7,"Typ",1,"Gd","Attchd","1950"
177,"TA","Y","SBrkr",1164,896,0,2060,0,1,2,1,4,1,"TA",8,"Typ",1,"TA","Attchd","1988"
178,"Ex","Y","SBrkr",1252,668,0,1920,1,0,2,0,4,1,"Gd",8,"Typ",1,"Gd","Attchd","1958"
179,"Ex","Y","SBrkr",2234,0,0,2234,1,0,2,0,1,1,"Ex",9,"Typ",1,"Gd","Attchd","2009"
180,"TA","Y","SBrkr",968,0,0,968,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd","1935"
181,"Ex","Y","SBrkr",769,756,0,1525,0,0,2,1,3,1,"Gd",5,"Typ",1,"TA","Detchd","2000"
182,"Gd","Y","SBrkr",901,901,0,1802,0,0,1,1,4,1,"TA",9,"Typ",1,"Gd","Detchd","1920"
183,"Ex","Y","SBrkr",1340,0,0,1340,0,0,1,0,3,1,"TA",7,"Typ",1,"Gd","Attchd","1957"
184,"Ex","Y","SBrkr",1362,720,0,2082,0,0,2,1,3,1,"Gd",6,"Mod",0,"None","Detchd","2003"
185,"Gd","Y","SBrkr",936,316,0,1252,0,0,1,0,3,1,"TA",5,"Typ",0,"None","Attchd","1986"
186,"Ex","Y","SBrkr",1518,1518,572,3608,0,0,2,1,4,1,"Ex",12,"Typ",2,"TA","Detchd","1993"
187,"Ex","Y","SBrkr",1217,0,0,1217,1,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd","1990"
188,"Ex","Y","SBrkr",808,704,144,1656,0,0,2,1,3,1,"TA",8,"Min2",0,"None","Detchd","1916"
189,"TA","Y","SBrkr",1224,0,0,1224,2,0,0,2,2,2,"TA",6,"Typ",2,"TA","Detchd","1979"
190,"Ex","Y","SBrkr",1593,0,0,1593,1,0,1,1,0,1,"Ex",5,"Typ",1,"Gd","Attchd","2001"
191,"TA","Y","SBrkr",1549,1178,0,2727,0,0,2,1,3,1,"Gd",10,"Maj1",2,"TA","Detchd","1932"
192,"Gd","Y","SBrkr",725,754,0,1479,1,0,1,1,4,1,"Gd",7,"Typ",0,"None","Attchd","1972"
193,"Ex","Y","SBrkr",1431,0,0,1431,1,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd","1999"
194,"Ex","Y","SBrkr",970,739,0,1709,0,0,2,0,3,1,"Gd",7,"Maj1",0,"None","Detchd","2004"
195,"TA","Y","SBrkr",864,0,0,864,0,0,1,0,3,1,"TA",5,"Typ",0,"None","Detchd","1989"
196,"TA","Y","SBrkr",855,601,0,1456,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd","1976"
197,"Ex","Y","SBrkr",1726,0,0,1726,1,0,2,0,3,1,"Ex",8,"Typ",1,"Gd","Attchd","2007"
198,"Gd","Y","SBrkr",1360,1360,392,3112,1,1,2,0,4,1,"Gd",8,"Typ",1,"Ex","Detchd","1918"
199,"Ex","Y","SBrkr",929,929,371,2229,0,0,1,0,5,1,"TA",8,"Typ",0,"None","None","None"
200,"Ex","Y","SBrkr",1713,0,0,1713,1,0,2,0,3,1,"Ex",7,"Typ",1,"Gd","Attchd","2004"
201,"Ex","Y","SBrkr",1121,0,0,1121,0,0,2,0,2,1,"TA",5,"Typ",0,"None","Attchd","2003"
202,"TA","Y","SBrkr",1279,0,0,1279,0,1,2,0,3,1,"TA",6,"Typ",2,"Fa","Detchd","1980"
203,"Gd","Y","SBrkr",865,445,0,1310,0,0,2,0,2,1,"TA",6,"Min1",0,"None","Attchd","1924"
204,"Ex","Y","SBrkr",848,0,0,848,1,0,1,0,1,1,"Gd",3,"Typ",1,"Gd","Attchd","2004"
205,"TA","Y","SBrkr",720,564,0,1284,0,0,1,1,2,1,"TA",5,"Typ",0,"None","Detchd","1948"
206,"Ex","Y","SBrkr",1442,0,0,1442,0,0,2,0,3,1,"TA",5,"Typ",0,"None","Attchd","1990"
207,"TA","Y","SBrkr",1696,0,0,1696,0,0,1,1,3,1,"TA",8,"Min2",1,"TA","Attchd","1962"
208,"TA","Y","SBrkr",1100,0,0,1100,1,0,1,0,3,1,"TA",6,"Typ",1,"Po","Attchd","1960"
209,"Ex","Y","SBrkr",1180,882,0,2062,1,0,2,1,3,1,"TA",7,"Typ",1,"Gd","Attchd","1988"
210,"Ex","Y","SBrkr",1092,0,0,1092,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd","1964"
211,"TA","N","FuseA",864,0,0,864,1,0,1,0,2,1,"TA",5,"Typ",0,"None","None","None"
212,"Ex","Y","SBrkr",1212,0,0,1212,0,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd","2009"
213,"Ex","Y","SBrkr",932,920,0,1852,1,0,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd","2009"
214,"Ex","Y","SBrkr",990,0,0,990,0,1,1,0,3,1,"TA",5,"Typ",0,"None","Attchd","1996"
215,"Ex","Y","SBrkr",689,703,0,1392,0,0,1,1,3,1,"TA",6,"Typ",0,"None","Attchd","1977"
216,"TA","Y","SBrkr",1236,0,0,1236,0,1,1,0,2,1,"Gd",6,"Min1",1,"Fa","Attchd","1957"
