"","id","mssubclass","mszoning","lotarea","street","lotshape","landcontour","utilities","lotconfig","neighborhood","condition1","condition2","bldgtype","overallqual","overallcond","yearbuilt","yearremodadd","alley_grvl","alley_pave","landslope_sev","landslope_mod"
"50",50,20,1,7808,1,0,0,1,0,"Sawyer",0,0,0,5,7,1966,1966,0,0,0,0
"51",51,60,1,13869,1,2,0,1,2,"Gilbert",0,0,0,6,6,1997,1997,0,0,0,0
"52",52,50,2,6292,1,0,0,1,0,"BrkSide",0,0,0,6,6,1934,1950,0,0,0,0
"53",53,90,2,8582,0,2,1,1,2,"IDOTRR",3,0,2,5,5,1963,1963,0,0,0,1
"54",54,20,1,50339,1,1,2,1,0,"Veenker",0,0,0,9,5,1981,1987,0,0,0,0
"55",55,80,1,7194,1,0,1,1,0,"NAmes",0,0,0,5,5,1955,1955,0,0,0,1
"56",56,20,1,10275,1,1,0,1,0,"NAmes",0,0,0,6,5,1964,1964,0,0,0,0
"57",57,160,4,2669,1,0,0,1,0,"Somerst",0,0,4,8,5,1999,2000,0,1,0,0
"58",58,60,1,11734,1,1,0,1,2,"CollgCr",0,0,0,7,5,2004,2004,0,0,0,0
"59",59,60,1,13748,1,2,3,1,3,"StoneBr",0,0,0,10,5,2006,2006,0,0,0,0
"60",60,20,1,7260,1,0,1,1,0,"CollgCr",0,0,0,5,7,1972,1972,0,0,0,0
"61",61,20,1,13135,1,0,0,1,0,"SawyerW",3,0,0,6,5,2004,2004,0,0,0,0
"62",62,75,2,7260,1,0,0,1,0,"IDOTRR",0,0,0,5,7,1920,1996,0,0,0,0
"63",63,120,1,6486,1,1,0,1,0,"NridgHt",0,0,3,8,5,2006,2006,0,0,0,0
"64",64,70,2,10350,1,1,1,1,0,"OldTown",3,1,0,7,6,1921,1950,0,0,0,0
"65",65,60,1,9375,1,0,0,1,0,"CollgCr",0,0,0,7,5,1997,1998,0,0,0,0
"66",66,60,1,9667,1,0,0,1,0,"NridgHt",0,0,0,8,5,2004,2005,0,0,0,0
"67",67,20,1,19900,1,0,0,1,0,"NAmes",2,0,0,7,5,1970,1989,0,0,0,0
"68",68,20,1,10737,1,1,0,1,0,"CollgCr",0,0,0,7,5,2003,2003,0,0,0,0
"69",69,30,2,4655,1,0,0,1,2,"OldTown",1,0,0,4,6,1945,1950,0,0,0,0
"70",70,50,1,15674,1,0,0,1,2,"ClearCr",0,0,0,7,4,1953,1953,0,0,0,0
"71",71,20,1,13746,1,1,0,1,0,"NAmes",0,0,0,7,6,1973,1973,0,0,0,0
"72",72,20,1,7668,1,0,0,1,2,"Mitchel",0,0,0,4,6,1982,2006,0,0,0,0
"73",73,60,1,10215,1,1,0,1,2,"Gilbert",0,0,0,7,5,1998,1998,0,0,0,0
"74",74,20,1,10285,1,0,0,1,0,"NAmes",0,0,0,5,7,1954,2003,0,0,0,0
"75",75,50,2,5850,1,0,0,1,2,"OldTown",0,0,0,3,6,1915,1950,0,0,0,0
"76",76,180,2,1617,1,0,0,1,0,"MeadowV",0,0,4,4,5,1973,1973,0,0,0,0
"77",77,20,1,8475,1,1,0,1,0,"NAmes",0,0,0,4,7,1956,1956,0,0,0,0
"78",78,50,2,8685,1,0,0,1,0,"BrkSide",0,0,0,5,5,1948,2001,0,0,0,0
"79",79,90,1,10850,1,0,0,1,0,"Sawyer",0,0,2,4,5,1968,1968,0,0,0,0
"80",80,50,2,10500,1,0,0,1,2,"OldTown",0,0,0,5,6,1910,1981,1,0,0,0
"81",81,60,1,13100,1,0,0,1,2,"NAmes",0,0,0,6,6,1968,1968,0,0,0,0
"82",82,120,2,4532,1,0,0,1,1,"Mitchel",0,0,3,6,5,1998,1998,0,0,0,0
"83",83,20,1,10284,1,0,0,1,0,"Somerst",0,0,0,8,5,2007,2007,0,0,0,0
"84",84,20,1,8972,1,1,0,1,0,"NAmes",0,0,0,5,5,1960,1960,0,0,0,0
"85",85,80,1,8530,1,1,0,1,0,"Gilbert",0,0,0,7,5,1995,1996,0,0,0,0
"86",86,60,1,16180,1,0,0,1,2,"NoRidge",0,0,0,8,5,1991,1992,0,0,0,0
"87",87,60,1,12033,1,2,0,1,0,"Gilbert",0,0,0,6,5,2005,2005,0,0,0,0
"88",88,160,4,3991,1,0,0,1,2,"Somerst",0,0,3,6,5,2009,2009,0,1,0,0
"89",89,50,0,8575,1,1,0,1,2,"IDOTRR",1,1,0,3,2,1915,1982,0,0,0,0
"90",90,20,1,8130,1,0,0,1,0,"CollgCr",0,0,0,4,5,1994,1995,0,0,0,0
"91",91,20,1,7260,1,0,0,1,0,"NAmes",0,0,0,4,5,1950,1950,0,0,0,0
"92",92,20,1,8585,1,0,0,1,0,"NAmes",0,0,0,5,3,1961,1961,0,0,0,0
"93",93,30,1,13440,1,1,3,1,0,"Crawfor",0,0,0,5,7,1921,2006,1,0,0,0
"94",94,190,0,7260,1,0,0,1,2,"OldTown",0,0,1,6,6,1910,1998,0,0,0,0
"95",95,60,1,9406,1,1,0,1,0,"CollgCr",0,0,0,6,5,1997,1997,0,0,0,0
"96",96,60,1,9765,1,2,0,1,2,"Gilbert",0,0,0,6,8,1993,1993,0,0,0,0
"97",97,20,1,10342,1,1,0,1,0,"CollgCr",0,0,0,7,5,1999,1999,0,0,0,0
"98",98,20,1,10994,1,0,3,1,0,"Edwards",0,0,0,4,5,1965,1965,0,0,0,0
"99",99,30,1,10710,1,0,0,1,2,"Edwards",0,0,0,5,5,1920,1950,0,0,0,0
"100",100,20,1,9397,1,1,0,1,0,"NAmes",0,0,0,4,5,1959,1959,0,0,0,0
"101",101,20,1,10603,1,1,0,1,0,"NWAmes",0,0,0,6,7,1977,2001,0,0,0,0
"102",102,60,1,9283,1,0,0,1,0,"SawyerW",0,0,0,6,5,1985,1985,0,0,0,0
"103",103,90,1,7082,1,0,1,1,0,"SawyerW",0,0,2,5,5,1979,1979,0,0,0,0
"104",104,20,1,10496,1,1,0,1,2,"CollgCr",0,0,0,7,5,2009,2009,0,0,0,0
"105",105,50,2,7758,1,0,0,1,2,"IDOTRR",0,0,0,7,4,1931,1950,0,0,0,0
"106",106,60,4,9450,1,0,0,1,0,"Somerst",0,0,0,8,5,2003,2004,0,0,0,0
"107",107,30,2,10860,1,0,0,1,0,"OldTown",0,0,0,4,7,1885,1995,1,0,0,0
"108",108,20,2,6050,1,0,0,1,0,"OldTown",0,0,0,5,5,1948,1950,0,0,0,0
"109",109,50,2,8585,1,0,0,1,2,"IDOTRR",1,0,0,5,7,1919,2005,0,0,0,0
"110",110,20,1,11856,1,1,0,1,0,"NWAmes",0,0,0,6,6,1977,1977,0,0,0,0
"111",111,50,1,9600,1,0,0,1,0,"Edwards",0,0,0,6,4,1954,1972,0,0,0,0
"112",112,80,1,7750,1,1,0,1,0,"Gilbert",0,0,0,7,5,2000,2000,0,0,0,0
"113",113,60,1,10042,1,0,0,1,0,"CollgCr",0,0,0,7,5,2007,2007,0,0,0,0
"114",114,20,1,21000,1,0,1,1,2,"Crawfor",0,0,0,6,5,1953,1953,0,0,0,0
"115",115,70,1,7320,1,1,0,1,0,"Crawfor",0,0,0,6,8,1945,2002,0,0,0,1
"116",116,160,4,3264,1,0,0,1,2,"Somerst",0,0,3,6,5,1999,1999,0,1,0,0
"117",117,20,1,11616,1,0,0,1,0,"Sawyer",0,0,0,5,5,1962,1962,0,0,0,0
"118",118,20,1,8610,1,0,0,1,2,"Edwards",0,0,0,5,5,2006,2007,0,0,0,0
"119",119,60,1,12466,1,0,0,1,2,"SawyerW",0,0,0,7,5,1990,1990,0,0,0,0
"120",120,60,1,8526,1,0,0,1,0,"CollgCr",0,0,0,6,5,2005,2006,0,0,0,0
"121",121,80,1,21453,1,1,2,1,3,"ClearCr",0,0,0,6,5,1969,1969,0,0,1,0
"122",122,50,2,6110,1,0,0,1,0,"IDOTRR",0,0,0,4,5,1939,1950,0,0,0,0
"123",123,20,1,9539,1,0,0,1,2,"NAmes",0,0,0,6,7,1958,1958,0,0,0,0
"124",124,120,1,7947,1,0,0,1,0,"SawyerW",0,0,3,6,5,1993,1993,0,0,0,0
"125",125,20,1,17091,1,1,0,1,3,"NWAmes",0,0,0,6,5,1979,1998,0,0,0,0
"126",126,190,2,6840,1,0,0,1,0,"IDOTRR",0,0,1,6,8,1935,1982,0,0,0,0
"127",127,120,1,4928,1,1,0,1,0,"NPkVill",0,0,3,6,5,1976,1976,0,0,0,0
"128",128,45,2,4443,1,1,1,1,0,"OldTown",1,0,0,5,7,1930,1950,0,0,0,0
"129",129,60,1,7659,1,0,0,1,0,"NAmes",2,0,0,6,5,1966,1966,0,0,0,0
"130",130,20,1,9042,1,0,0,1,0,"NAmes",0,0,0,5,7,1958,1991,0,0,0,0
"131",131,60,1,14288,1,0,0,1,2,"NAmes",0,0,0,7,6,1966,1966,0,0,0,0
"132",132,60,1,12224,1,1,0,1,2,"Gilbert",0,0,0,6,5,2000,2000,0,0,0,0
"133",133,20,1,7463,1,0,0,1,2,"NAmes",0,0,0,5,6,1959,2002,0,0,0,0
"134",134,20,1,6853,1,1,0,1,0,"Timber",0,0,0,8,5,2001,2002,0,0,0,0
"135",135,20,1,10413,1,1,0,1,0,"Sawyer",0,0,0,5,6,1968,1993,0,0,0,0
"136",136,20,1,10480,1,0,0,1,0,"NWAmes",0,0,0,7,6,1970,1970,0,0,0,0
"137",137,20,1,10355,1,1,0,1,2,"NAmes",0,0,0,5,5,1967,1967,0,0,0,0
"138",138,90,1,11152,1,0,0,1,0,"Mitchel",0,0,2,7,5,1988,1989,0,0,0,0
"139",139,60,1,9139,1,1,0,1,0,"CollgCr",0,0,0,8,5,1999,2000,0,0,0,0
"140",140,60,1,15491,1,1,0,1,0,"CollgCr",0,0,0,6,5,1997,1997,0,0,0,0
"141",141,20,1,10570,1,0,0,1,1,"NAmes",0,0,0,4,5,1971,1971,0,0,0,0
"142",142,20,1,11723,1,0,0,1,0,"CollgCr",0,0,0,7,5,2005,2005,0,0,0,0
"143",143,50,1,8591,1,0,0,1,2,"NAmes",1,0,0,5,4,1952,1952,0,0,0,0
"144",144,20,1,10413,1,1,0,1,0,"CollgCr",0,0,0,7,5,1999,1999,0,0,0,0
"145",145,90,2,9170,1,0,0,1,0,"Sawyer",3,0,2,5,5,1963,1963,0,0,0,0
"146",146,160,2,2546,1,0,0,1,0,"Edwards",0,0,4,6,5,2004,2006,0,0,0,0
"147",147,30,2,6171,1,0,0,1,2,"BrkSide",0,0,0,5,7,1931,1993,0,0,0,0
"148",148,60,1,9505,1,1,0,1,3,"Gilbert",0,0,0,7,5,2001,2001,0,0,0,0
"149",149,20,1,7563,1,0,0,1,0,"SawyerW",0,0,0,7,5,2004,2005,0,0,0,0
"150",150,50,2,6240,1,0,0,1,0,"BrkSide",0,0,0,5,4,1936,1950,0,0,0,0
"151",151,20,1,10476,1,0,0,1,2,"CollgCr",0,0,0,5,6,1975,1975,0,0,0,0
"152",152,20,1,13998,1,0,0,1,0,"NridgHt",0,0,0,8,5,2007,2008,0,0,0,0
"153",153,60,1,14803,1,1,0,1,3,"NWAmes",0,0,0,6,5,1971,1971,0,0,0,0
"154",154,20,1,13500,1,0,0,1,0,"ClearCr",0,0,0,6,7,1960,1975,0,0,0,0
"155",155,30,2,11424,1,0,0,1,2,"OldTown",0,0,0,6,5,1923,1950,0,0,0,0
"156",156,50,1,9660,1,0,0,1,2,"Edwards",1,0,0,6,5,1924,1950,0,0,0,0
"157",157,20,1,7260,1,0,0,1,0,"NAmes",0,0,0,5,7,1950,1950,0,0,0,0
"158",158,60,1,12095,1,0,0,1,2,"Timber",0,0,0,8,5,2009,2010,0,0,0,0
"159",159,60,4,12652,1,0,0,1,2,"Somerst",0,0,0,7,5,2004,2005,0,0,0,0
"160",160,60,1,19512,1,1,3,1,2,"Gilbert",0,0,0,7,5,2005,2006,0,0,0,0
"161",161,20,1,11120,1,1,0,1,3,"Veenker",0,0,0,6,6,1984,1984,0,0,0,0
"162",162,60,1,13798,1,1,0,1,0,"NridgHt",0,0,0,9,5,2003,2004,0,0,0,0
"163",163,20,1,12277,1,0,0,1,2,"NridgHt",0,0,0,7,5,2005,2005,0,0,0,0
"164",164,45,1,5555,1,0,0,1,0,"OldTown",0,0,0,4,6,1956,1956,0,0,0,0
"165",165,40,2,5440,1,0,0,1,2,"OldTown",0,0,0,6,7,1926,2004,0,1,0,0
"166",166,190,1,10168,1,0,0,1,0,"Edwards",0,0,1,5,7,1940,1999,0,0,0,0
"167",167,20,1,10708,1,1,0,1,0,"ClearCr",0,0,0,5,5,1955,1993,0,0,0,0
"168",168,60,1,10648,1,0,0,1,0,"NridgHt",0,0,0,8,5,2007,2007,0,0,0,0
"169",169,60,1,8306,1,1,0,1,0,"Gilbert",0,0,0,7,5,2004,2004,0,0,0,0
"170",170,20,1,16669,1,1,0,1,2,"Timber",0,0,0,8,6,1981,1981,0,0,0,0
"171",171,50,2,12358,1,1,0,1,0,"OldTown",1,0,0,5,6,1941,1950,0,0,0,0
"172",172,20,1,31911,1,1,0,1,2,"NAmes",0,0,0,6,5,1960,1960,0,0,0,0
"173",173,160,1,5350,1,1,0,1,0,"StoneBr",0,0,3,7,7,1987,1987,0,0,0,0
"174",174,20,1,10277,1,1,0,1,0,"NAmes",0,0,0,6,5,1961,1961,0,0,0,0
"175",175,20,1,12463,1,1,0,1,0,"Timber",0,0,0,6,5,1986,1986,0,0,0,0
"176",176,20,1,12699,1,0,0,1,2,"Edwards",0,0,0,6,7,1950,2001,0,0,0,0
"177",177,60,1,10126,1,1,0,1,2,"ClearCr",0,0,0,6,5,1988,1989,0,0,0,0
"178",178,50,1,13650,1,0,0,1,0,"Sawyer",0,0,0,5,5,1958,1958,0,0,0,0
"179",179,20,1,17486,1,1,0,1,3,"StoneBr",0,0,0,9,5,2008,2009,0,0,0,0
"180",180,30,2,8580,1,0,0,1,0,"OldTown",0,0,0,5,6,1923,2006,0,0,0,0
"181",181,160,4,2117,1,0,0,1,0,"Somerst",0,0,4,6,5,2000,2000,0,0,0,0
"182",182,70,1,7642,1,0,0,1,0,"Crawfor",0,0,0,7,6,1920,1950,0,0,0,0
"183",183,20,1,9120,1,0,0,1,0,"Edwards",1,0,0,5,6,1957,2006,0,0,0,0
"184",184,50,2,11489,1,0,0,1,0,"OldTown",0,0,0,7,5,2003,2003,0,0,0,0
"185",185,50,1,7530,1,1,0,1,0,"BrkSide",3,1,0,5,8,1908,1991,0,0,0,0
"186",186,75,2,23040,1,2,0,1,0,"OldTown",1,0,0,10,9,1892,1993,0,0,0,0
"187",187,80,1,9947,1,1,0,1,3,"Mitchel",0,0,0,7,5,1990,1991,0,0,0,0
"188",188,50,1,10470,1,0,0,1,0,"OldTown",0,0,0,5,7,1916,1987,0,0,0,0
"189",189,90,1,7082,1,0,1,1,0,"SawyerW",1,0,2,5,5,1979,1979,0,0,0,0
"190",190,120,1,4964,1,0,0,1,0,"StoneBr",0,0,3,8,5,2001,2002,0,0,0,0
"191",191,70,1,10640,1,0,1,1,0,"Crawfor",0,0,0,8,8,1932,1994,0,0,0,1
"192",192,60,1,7472,1,1,0,1,3,"NAmes",0,0,0,7,9,1972,2004,0,0,0,0
"193",193,20,1,9085,1,1,0,1,0,"CollgCr",0,0,0,7,5,1999,1999,0,0,0,0
"194",194,160,2,2546,1,0,0,1,0,"Edwards",0,0,4,7,5,2004,2004,0,0,0,0
"195",195,20,1,7240,1,1,0,1,0,"CollgCr",0,0,0,5,7,1972,1972,0,0,0,0
"196",196,160,1,2304,1,0,0,1,1,"NPkVill",0,0,4,6,6,1976,1976,0,0,0,0
"197",197,20,1,9495,1,0,0,1,0,"Somerst",0,0,0,7,5,2007,2007,0,0,0,0
"198",198,75,1,25593,1,0,0,1,2,"NAmes",1,0,0,8,4,1918,1990,0,0,0,0
"199",199,75,2,5612,1,0,0,1,2,"OldTown",0,0,0,6,6,1912,1950,0,0,0,0
"200",200,20,1,9667,1,0,0,1,0,"NridgHt",0,0,0,8,5,2004,2005,0,0,0,0
"201",201,20,2,8626,1,0,0,1,2,"Edwards",0,0,0,4,5,2003,2004,0,0,0,0
"202",202,20,1,10200,1,0,0,1,0,"Mitchel",0,0,0,6,6,1977,1977,0,0,0,0
"203",203,50,1,7050,1,0,0,1,2,"OldTown",1,0,0,6,6,1924,1950,0,0,0,0
"204",204,120,2,4438,1,0,0,1,0,"CollgCr",0,0,3,6,5,2004,2004,0,0,0,0
"205",205,50,2,3550,1,0,0,1,0,"OldTown",0,0,0,5,7,1947,1950,1,0,0,0
"206",206,20,1,11950,1,0,0,1,2,"Gilbert",0,0,0,7,5,1990,1990,0,0,0,0
"207",207,20,1,13713,1,1,0,1,3,"Sawyer",3,0,0,5,5,1962,1962,0,0,0,0
"208",208,20,1,12493,1,1,0,1,0,"NAmes",0,0,0,4,5,1960,1960,0,0,0,0
"209",209,60,1,14364,1,1,2,1,0,"SawyerW",0,0,0,7,5,1988,1989,0,0,0,1
"210",210,20,1,8325,1,0,0,1,0,"NAmes",0,0,0,6,7,1964,1964,0,0,0,0
"211",211,30,1,5671,1,0,0,1,0,"Edwards",0,0,0,5,6,1925,1950,0,0,0,0
"212",212,20,1,10503,1,0,0,1,2,"Edwards",0,0,0,6,5,2009,2009,0,0,0,0
"213",213,60,4,8712,1,0,0,1,0,"Somerst",0,0,0,7,5,2009,2009,0,0,0,0
"214",214,20,1,13611,1,2,0,1,3,"CollgCr",0,0,0,5,5,1995,1995,0,0,0,0
"215",215,60,1,10900,1,1,0,1,1,"CollgCr",0,0,0,6,7,1977,1977,0,0,0,0
"216",216,20,1,10083,1,1,0,1,0,"NAmes",0,0,0,5,6,1957,1996,0,0,0,0
"217",217,20,1,8515,1,0,0,1,0,"CollgCr",0,0,0,7,5,2004,2004,0,0,0,0
"218",218,70,2,9963,1,0,0,1,0,"OldTown",0,0,0,4,4,1925,1950,1,0,0,0
"219",219,50,1,15660,1,1,0,1,2,"Crawfor",0,0,0,7,9,1939,2006,0,0,0,0
"220",220,120,1,3053,1,0,0,1,0,"Blmngtn",0,0,3,7,5,2005,2006,0,0,0,0
"221",221,20,1,9063,1,1,0,1,0,"CollgCr",0,0,0,7,5,2006,2006,0,0,0,0
"222",222,60,1,8068,1,1,0,1,0,"Gilbert",0,0,0,6,5,2002,2002,0,0,0,0
"223",223,60,1,11560,1,0,0,1,0,"NWAmes",3,0,0,6,6,1975,1975,0,0,0,0
"224",224,20,1,10570,1,0,0,1,1,"NAmes",0,0,0,4,6,1971,1971,0,0,0,0
"225",225,20,1,13575,1,0,0,1,0,"NridgHt",0,0,0,10,5,2003,2003,0,0,0,0
"226",226,160,2,1701,1,0,0,1,0,"BrDale",0,0,4,5,5,1971,1971,0,0,0,0
"227",227,60,1,10032,1,1,0,1,0,"NoRidge",0,0,0,7,5,1995,1995,0,0,0,0
"228",228,160,2,1890,1,0,0,1,0,"BrDale",0,0,4,6,6,1970,1970,0,0,0,0
"229",229,20,1,8591,1,0,0,1,1,"Sawyer",1,0,0,5,5,1967,1967,0,0,0,0
"230",230,120,1,3225,1,0,0,1,0,"Blmngtn",0,0,3,7,5,2005,2006,0,0,0,0
"231",231,20,1,8833,1,0,0,1,0,"NAmes",0,0,0,6,6,1959,1959,0,0,0,0
"232",232,60,1,15312,1,1,0,1,0,"NoRidge",0,0,0,8,5,1995,1996,0,0,0,0
"233",233,160,2,1701,1,0,0,1,0,"BrDale",0,0,4,6,5,1972,1972,0,0,0,0
"234",234,20,1,10725,1,0,0,1,2,"CollgCr",0,0,0,5,6,1976,1976,0,0,0,0
"235",235,60,1,7851,1,0,0,1,0,"Gilbert",0,0,0,6,5,2002,2002,0,0,0,0
"236",236,160,2,1701,1,0,0,1,0,"BrDale",0,0,3,6,3,1971,1971,0,0,0,0
"237",237,20,1,8838,1,0,0,1,1,"CollgCr",0,0,0,7,5,2004,2004,0,0,0,0
"238",238,60,1,9453,1,1,0,1,3,"SawyerW",3,0,0,7,7,1993,2003,0,0,0,0
"239",239,20,1,12123,1,0,0,1,0,"NridgHt",0,0,0,8,5,2007,2007,0,0,0,0
"240",240,50,1,8793,1,0,0,1,0,"Edwards",0,0,0,6,4,1945,1950,0,0,0,0
"241",241,20,4,9075,1,0,0,1,0,"Somerst",0,0,0,8,5,2008,2008,0,0,0,0
"242",242,30,2,3920,1,0,0,1,0,"OldTown",0,0,0,5,9,1945,1997,0,0,0,0
"243",243,50,2,5063,1,0,0,1,2,"OldTown",0,0,0,5,4,1900,1950,0,0,0,0
"244",244,160,1,10837,1,0,0,1,2,"SawyerW",0,0,3,6,6,1980,1980,0,0,0,0
"245",245,60,1,8880,1,1,0,1,0,"SawyerW",0,0,0,7,5,1994,2002,0,0,0,0
"246",246,20,1,10480,1,0,0,1,0,"NWAmes",0,0,0,7,5,1988,1988,0,0,0,0
"247",247,190,2,9211,1,0,0,1,0,"OldTown",0,0,1,6,8,1910,1950,1,0,0,0
"248",248,20,1,11385,1,0,0,1,0,"NAmes",0,0,0,6,5,1954,1954,0,0,0,0
"249",249,60,1,11389,1,0,0,1,0,"CollgCr",0,0,0,7,5,2003,2003,0,0,0,0
"250",250,50,1,159000,1,2,2,1,3,"ClearCr",0,0,0,6,7,1958,2006,0,0,1,0
"251",251,30,1,5405,1,1,0,1,0,"BrkSide",0,0,0,3,2,1940,1966,0,0,0,0
"252",252,120,2,4794,1,1,3,1,0,"Crawfor",0,0,3,8,5,2006,2007,0,0,0,1
"253",253,60,1,8431,1,1,0,1,0,"SawyerW",0,0,0,6,5,2004,2004,0,0,0,0
"254",254,80,1,9435,1,0,0,1,0,"NAmes",0,0,0,6,7,1964,1991,0,0,0,0
"255",255,20,1,8470,1,0,0,1,0,"NAmes",0,0,0,5,6,1957,1957,0,0,0,0
"256",256,60,1,8804,1,1,0,1,0,"Gilbert",0,0,0,7,5,1999,1999,0,0,0,0
"257",257,60,4,8855,1,1,0,1,0,"Somerst",0,0,0,6,5,2003,2003,0,0,0,0
"258",258,20,1,8882,1,0,0,1,0,"CollgCr",0,0,0,7,5,2006,2006,0,0,0,0
"259",259,60,1,12515,1,0,0,1,0,"CollgCr",0,0,0,7,5,2001,2001,0,0,0,0
"260",260,20,2,12772,1,0,0,1,0,"OldTown",0,0,0,5,5,1956,1956,0,0,0,0
"261",261,80,1,19416,1,0,0,1,2,"NAmes",1,0,0,6,5,1962,1962,0,0,0,0
