"","x1stflrsf","x2ndflrsf","grlivarea","totrmsabvgrd","centralair_y","masvnrarea","totalbsmtsf","mssubclass","lotarea","overallqual","neighborhood","yearbuilt","overallcond","garagecars","garagearea","openporchsf","paveddrive_fy","saletype_fcwd","garagefinish_fnone","fence_fnone","fireplaces","heatingqc_ex","saleprice"
"22",1108,0,1108,6,1,0,637,45,7506,7,13,1930,7,1,280,0,0,0,0,0,1,1,139400
"23",1795,0,1795,7,1,281,1777,20,9817,8,0,2002,5,2,534,159,1,0,0,1,1,1,230000
"24",1060,0,1060,6,1,0,1040,120,4268,5,14,1976,7,2,572,110,1,0,0,1,1,0,129900
"25",1060,0,1060,6,1,0,1060,20,8246,5,9,1968,8,1,270,90,1,0,0,0,1,1,154000
"26",1600,0,1600,7,1,640,1566,20,14340,8,10,2007,5,3,890,56,1,0,0,1,1,1,256300
"27",900,0,900,5,1,0,900,20,7260,5,11,1951,7,2,576,32,1,0,0,1,0,0,134800
"28",1704,0,1704,7,1,200,1704,20,11576,8,10,2007,5,3,772,50,1,0,0,1,1,1,306000
"29",1600,0,1600,6,1,0,1484,20,16368,5,11,1957,6,1,319,258,1,0,0,1,2,0,207500
"30",520,0,520,4,0,0,520,30,6384,4,8,1927,6,1,240,0,1,0,0,1,0,0,68500
"31",649,668,1317,6,0,0,649,70,8550,4,13,1920,4,1,250,54,0,0,0,0,0,0,40000
"32",1228,0,1228,6,1,0,1228,20,8544,5,9,1966,6,1,271,65,1,0,0,0,0,0,149350
"33",1234,0,1234,7,1,0,1234,20,11134,8,0,2007,5,2,484,30,1,0,0,1,0,1,179900
"34",1700,0,1700,6,1,0,1398,20,10622,5,11,1959,5,2,447,38,1,0,0,1,1,0,165500
"35",1561,0,1561,6,1,246,1561,120,7373,9,10,2005,5,2,556,47,1,0,0,1,1,1,277500
"36",1132,1320,2452,9,1,132,1117,60,13526,8,10,2004,5,3,691,32,1,0,0,1,1,1,309000
"37",1097,0,1097,6,1,0,1097,20,10971,5,0,1994,5,2,672,64,1,0,0,1,0,1,145000
"38",1297,0,1297,5,1,650,1297,20,8606,5,11,1954,6,2,498,0,1,0,0,1,1,0,153000
"39",1057,0,1057,5,1,0,1057,20,7990,5,11,1953,7,1,246,52,1,0,0,1,0,0,109000
"40",1152,0,1152,6,0,0,0,90,6105,4,15,1955,5,0,0,0,0,0,1,1,0,0,82000
"41",1324,0,1324,6,1,101,1088,20,8742,6,11,1965,5,2,440,138,1,0,0,0,1,1,160000
"42",1328,0,1328,5,1,0,1350,20,17020,5,16,1959,6,1,308,104,0,0,0,1,2,0,170000
"43",884,0,884,5,1,0,840,85,9180,5,12,1983,7,2,504,0,1,0,0,0,0,0,144000
"44",938,0,938,5,1,0,938,20,9200,5,0,1975,6,1,308,0,1,0,0,0,0,0,130250
"45",1150,0,1150,6,1,0,1150,20,8015,5,11,1959,6,1,300,0,1,0,0,1,0,1,141000
"46",1752,0,1752,6,1,412,1752,120,7719,9,10,2005,5,2,576,82,1,0,0,1,1,1,319900
"47",1518,631,2149,6,1,0,1434,50,12870,7,4,2003,5,2,670,43,1,0,0,1,1,1,239686
"48",1656,0,1656,7,1,0,1656,20,11180,8,5,2006,5,3,826,146,1,0,0,1,0,1,249700
"49",736,716,1452,8,1,0,736,190,4489,4,7,1920,5,0,0,0,0,0,1,1,0,0,113000
"50",955,0,955,6,1,0,955,20,7808,5,9,1966,7,1,386,0,1,0,0,0,0,1,127000
"51",794,676,1470,6,1,0,794,60,13869,6,17,1997,6,2,388,75,1,0,0,1,0,0,177000
"52",816,0,1176,6,1,0,816,50,6292,6,8,1934,6,2,528,0,1,0,0,0,1,0,114500
"53",816,0,816,5,0,0,816,90,8582,5,13,1963,5,2,516,0,1,0,0,1,0,0,110000
"54",1842,0,1842,5,1,0,1842,20,50339,9,1,1981,5,3,894,72,1,0,0,1,1,0,385000
"55",1360,0,1360,6,1,0,384,80,7194,5,11,1955,5,2,572,50,1,0,0,0,1,0,130000
"56",1425,0,1425,7,1,272,1425,20,10275,6,11,1964,5,2,576,0,1,0,0,1,1,0,180500
"57",983,756,1739,7,1,456,970,160,2669,8,5,1999,5,2,480,0,1,0,0,1,0,1,172500
"58",860,860,1720,7,1,0,860,60,11734,7,0,2004,5,2,565,70,1,0,0,1,0,1,196500
"59",1426,1519,2945,10,1,1031,1410,60,13748,10,18,2006,5,3,641,0,1,0,0,1,1,1,438780
"60",780,0,780,4,1,0,780,20,7260,5,0,1972,7,1,352,0,1,0,0,0,0,1,124900
"61",1158,0,1158,5,1,0,1158,20,13135,6,12,2004,5,2,576,50,1,0,0,1,0,1,158000
"62",581,530,1111,6,0,0,530,75,7260,5,13,1920,7,1,288,0,0,0,0,1,0,0,101000
"63",1370,0,1370,6,1,178,1370,120,6486,8,10,2006,5,2,484,49,1,0,0,1,1,1,202500
"64",902,808,1710,9,1,0,576,70,10350,7,7,1921,6,2,480,11,1,0,0,0,0,0,140000
"65",1057,977,2034,8,1,573,1057,60,9375,7,0,1997,5,2,645,36,1,0,0,0,0,1,219500
"66",1143,1330,2473,9,1,344,1143,60,9667,8,10,2004,5,3,852,151,1,0,0,1,1,1,317000
"67",2207,0,2207,7,1,287,1947,20,19900,7,11,1970,5,2,576,0,1,0,0,1,1,0,180000
"68",1479,0,1479,7,1,167,1453,20,10737,7,0,2003,5,2,558,29,1,0,0,1,0,1,226000
"69",747,0,747,4,1,0,747,30,4655,4,7,1945,6,1,220,0,1,0,0,1,0,0,80000
"70",1304,983,2287,7,1,0,1304,50,15674,7,19,1953,4,2,667,21,1,0,0,1,1,0,225000
"71",2223,0,2223,8,1,1115,2223,20,13746,7,11,1973,6,2,516,0,1,0,0,1,2,1,244000
"72",845,0,845,4,1,0,845,20,7668,4,4,1982,6,2,360,0,1,0,0,1,0,0,129500
"73",885,833,1718,7,1,40,832,60,10215,7,17,1998,5,2,427,94,1,0,0,1,1,0,185000
"74",1086,0,1086,6,1,104,1086,20,10285,5,11,1954,7,2,490,0,1,0,0,0,0,0,144900
"75",840,765,1605,8,0,0,840,50,5850,3,7,1915,6,1,379,0,1,0,0,1,0,0,107400
"76",526,462,988,5,1,0,462,180,1617,4,14,1973,5,1,297,101,1,0,0,0,0,0,91000
"77",952,0,952,4,1,0,952,20,8475,4,11,1956,7,1,283,0,1,0,0,1,0,1,135750
"78",1072,213,1285,6,1,0,672,50,8685,5,8,1948,5,1,240,0,1,0,0,0,0,0,127000
"79",1768,0,1768,8,0,0,1768,90,10850,4,9,1968,5,0,0,0,1,0,1,1,0,0,136500
"80",682,548,1230,5,1,0,440,50,10500,5,7,1910,6,2,440,0,1,0,0,0,0,0,110000
"81",1182,960,2142,8,1,576,896,60,13100,6,11,1968,6,1,509,72,1,0,0,1,1,0,193500
"82",1337,0,1337,5,1,443,1237,120,4532,6,4,1998,5,2,405,199,1,0,0,1,0,1,153500
"83",1563,0,1563,6,1,468,1563,20,10284,8,5,2007,5,3,758,99,1,0,0,1,1,1,245000
"84",1065,0,1065,6,1,66,1065,20,8972,5,11,1960,5,2,461,0,1,0,0,1,0,0,126500
"85",804,670,1474,7,1,22,384,80,8530,7,17,1995,5,2,400,72,1,0,0,1,1,0,168500
"86",1301,1116,2417,9,1,284,1288,60,16180,8,3,1991,5,2,462,82,1,0,0,1,1,1,260000
"87",684,876,1560,6,1,0,684,60,12033,6,17,2005,5,2,400,38,1,0,0,1,1,1,174000
"88",612,612,1224,4,1,76,612,160,3991,6,5,2009,5,2,528,234,1,0,0,1,0,1,164500
"89",1013,0,1526,6,0,0,1013,50,8575,3,13,1915,2,0,0,0,0,0,1,0,0,0,85000
"90",990,0,990,5,1,0,990,20,8130,4,0,1994,5,0,0,0,1,0,1,1,0,1,123600
"91",1040,0,1040,4,1,0,0,20,7260,4,11,1950,5,2,420,29,1,0,0,1,0,0,109900
"92",1235,0,1235,6,1,203,1235,20,8585,5,11,1961,3,2,480,0,1,0,0,0,0,0,98600
"93",964,0,964,5,1,0,876,30,13440,5,2,1921,7,2,432,0,1,0,0,1,0,1,163500
"94",1260,1031,2291,9,0,0,1214,190,7260,6,7,1910,6,2,506,0,1,0,0,1,1,1,133900
"95",905,881,1786,7,1,0,824,60,9406,6,0,1997,5,2,684,162,1,0,0,1,0,1,204750
"96",680,790,1470,6,1,68,680,60,9765,6,17,1993,8,2,420,63,1,0,0,1,1,0,185000
"97",1588,0,1588,6,1,183,1588,20,10342,7,0,1999,5,2,472,29,1,0,0,1,0,1,214000
"98",960,0,960,6,1,48,960,20,10994,4,15,1965,5,1,432,0,0,0,0,1,0,0,94750
"99",835,0,835,5,0,0,458,30,10710,5,15,1920,5,1,366,0,1,0,0,1,0,0,83000
"100",1225,0,1225,6,1,0,950,20,9397,4,11,1959,5,0,0,0,1,0,1,1,0,0,128950
"101",1610,0,1610,6,1,28,1610,20,10603,6,6,1977,7,2,480,68,1,0,0,1,2,0,205000
"102",977,755,1732,7,1,336,741,60,9283,6,12,1985,5,2,476,46,1,0,0,1,1,0,178000
"103",1535,0,1535,8,1,0,0,90,7082,5,12,1979,5,2,410,0,1,0,0,1,0,0,118964
"104",1226,0,1226,6,1,0,1226,20,10496,7,0,2009,5,3,740,36,1,0,0,1,0,1,198900
"105",1226,592,1818,7,1,600,1040,50,7758,7,13,1931,4,1,240,0,1,0,0,1,2,1,169500
"106",1053,939,1992,9,1,768,1053,60,9450,8,5,2003,5,2,648,45,1,0,0,1,1,1,250000
"107",1047,0,1047,6,1,0,641,30,10860,4,7,1885,7,1,273,0,0,0,0,1,0,0,100000
"108",789,0,789,5,1,0,789,20,6050,5,7,1948,5,1,250,0,1,0,0,1,0,1,115000
"109",997,520,1517,7,0,0,793,50,8585,5,13,1919,7,0,0,0,0,0,1,1,0,0,115000
"110",1844,0,1844,7,1,480,1844,20,11856,6,6,1977,6,2,546,122,1,0,0,0,1,1,190000
"111",1216,639,1855,7,1,0,994,50,9600,6,15,1954,4,1,325,0,1,0,0,1,0,0,136900
"112",774,656,1430,7,1,0,384,80,7750,7,17,2000,5,2,400,0,1,0,0,1,1,1,180000
"113",1282,1414,2696,10,1,220,1264,60,10042,7,0,2007,5,3,792,184,1,0,0,1,1,1,383970
"114",2259,0,2259,7,1,184,1809,20,21000,6,2,1953,5,2,450,120,1,0,0,0,2,0,217000
"115",1436,884,2320,9,1,0,1028,70,7320,6,2,1945,8,1,180,0,1,0,0,0,1,1,259500
"116",729,729,1458,5,1,1129,729,160,3264,6,5,1999,5,2,440,32,1,0,0,1,1,0,176000
"117",1092,0,1092,6,1,116,1092,20,11616,5,9,1962,5,1,288,20,1,0,0,1,1,0,139000
"118",1125,0,1125,5,1,0,1125,20,8610,5,15,2006,5,2,430,64,1,0,0,1,0,0,155000
"119",1699,1523,3222,11,1,0,1673,60,12466,7,12,1990,5,3,594,0,1,0,0,1,2,0,320000
"120",728,728,1456,8,1,0,728,60,8526,6,0,2005,5,2,390,24,1,0,0,1,1,1,163990
"121",988,0,988,4,1,0,938,80,21453,6,19,1969,5,2,540,130,1,0,0,1,2,1,180000
"122",772,351,1123,4,1,0,732,50,6110,4,13,1939,5,1,264,0,0,0,0,0,0,0,100000
"123",1080,0,1080,5,1,135,1080,20,9539,6,11,1958,7,1,288,0,1,0,0,1,0,0,136000
"124",1199,0,1199,5,1,0,1199,120,7947,6,12,1993,5,2,530,63,1,0,0,1,0,1,153900
"125",1586,0,1586,7,1,0,1362,20,17091,6,6,1979,5,2,435,0,1,0,0,1,1,0,181000
"126",520,0,754,5,0,0,520,190,6840,6,13,1935,8,0,0,0,0,0,1,1,0,0,84500
"127",958,0,958,5,1,0,1078,120,4928,6,20,1976,5,2,440,205,1,0,0,1,1,0,128000
"128",840,0,840,5,1,0,672,45,4443,5,7,1930,7,0,0,0,0,0,1,1,1,1,87000
"129",660,688,1348,6,1,266,660,60,7659,6,11,1966,5,2,453,108,1,0,0,1,1,0,155000
"130",1053,0,1053,6,1,85,1008,20,9042,5,11,1958,7,2,750,80,1,0,0,0,0,0,150000
"131",1216,941,2157,8,1,309,924,60,14288,7,11,1966,6,2,487,66,1,0,0,0,2,1,226000
"132",1022,1032,2054,7,1,40,992,60,12224,6,17,2000,5,2,390,48,1,0,0,1,1,1,244000
"133",1327,0,1327,7,1,0,1063,20,7463,5,11,1959,6,2,624,0,1,0,0,1,0,0,150750
"134",1296,0,1296,6,1,136,1267,20,6853,8,16,2001,5,2,471,25,1,0,0,1,0,1,220000
"135",1721,0,1721,7,1,0,1461,20,10413,5,9,1968,6,2,440,96,1,0,0,0,1,0,180000
"136",1682,0,1682,7,1,288,1304,20,10480,7,6,1970,6,2,530,0,1,0,0,0,1,0,174000
"137",1214,0,1214,5,1,196,1214,20,10355,5,11,1967,5,1,318,111,1,0,0,1,1,0,143000
"138",1959,0,1959,9,1,70,1907,90,11152,7,4,1988,5,3,766,0,1,0,0,1,0,0,171000
"139",1004,848,1852,7,1,320,1004,60,9139,8,0,1999,5,3,660,106,1,0,0,0,2,1,230000
"140",928,836,1764,7,1,0,928,60,15491,6,0,1997,5,2,470,99,1,0,0,0,0,1,231500
"141",864,0,864,5,1,0,864,20,10570,4,11,1971,5,0,0,0,1,0,1,1,1,0,115000
"142",1734,0,1734,7,1,0,1734,20,11723,7,0,2005,5,2,660,24,1,0,0,1,0,1,260000
"143",910,475,1385,6,1,0,910,50,8591,5,11,1952,4,2,720,0,1,0,0,0,0,0,166000
"144",1501,0,1501,6,1,183,1490,20,10413,7,0,1999,5,2,577,29,1,0,0,1,0,1,204000
"145",1728,0,1728,10,1,336,1728,90,9170,5,9,1963,5,2,504,0,1,0,0,1,0,0,125000
"146",970,739,1709,7,1,50,970,160,2546,6,15,2004,5,2,380,40,1,0,0,1,0,1,130000
"147",875,0,875,5,1,0,715,30,6171,5,8,1931,7,1,180,0,1,0,0,1,0,0,105000
"148",884,1151,2035,8,1,180,884,60,9505,7,17,2001,5,2,434,48,1,0,0,1,1,1,222500
"149",1080,0,1080,6,1,120,1080,20,7563,7,12,2004,5,0,0,0,1,0,1,1,0,1,141000
"150",896,448,1344,7,1,0,896,50,6240,5,8,1936,4,1,240,114,1,0,0,1,0,0,115000
"151",969,0,969,5,1,0,969,20,10476,5,0,1975,6,2,440,0,1,0,0,0,0,0,122000
"152",1710,0,1710,6,1,436,1710,20,13998,8,10,2007,5,3,866,102,1,0,0,1,1,1,372402
"153",1097,896,1993,8,1,252,825,60,14803,6,6,1971,5,2,495,66,1,0,0,0,1,0,190000
"154",1252,0,1252,4,1,0,1602,20,13500,6,19,1960,7,2,564,0,1,0,0,1,1,0,235000
"155",1200,0,1200,7,1,0,1200,30,11424,6,7,1923,5,1,312,0,1,0,0,1,0,0,125000
"156",572,524,1096,5,0,0,572,50,9660,6,15,1924,5,0,0,8,0,0,1,1,0,0,79000
"157",1040,0,1040,5,1,0,0,20,7260,5,11,1950,7,2,625,0,1,0,0,1,0,0,109500
"158",774,1194,1968,8,1,84,774,60,12095,8,16,2009,5,3,680,75,1,0,0,1,1,1,269500
"159",991,956,1947,8,1,0,991,60,12652,7,5,2004,5,2,678,136,1,0,0,0,1,1,254900
"160",1392,1070,2462,9,1,456,1392,60,19512,7,17,2005,5,2,576,132,1,0,0,1,1,1,320000
"161",1232,0,1232,6,1,0,1232,20,11120,6,1,1984,6,2,516,0,1,0,0,1,0,0,162500
"162",1572,1096,2668,10,1,664,1572,60,13798,9,10,2003,5,3,726,0,1,0,0,1,2,1,412500
"163",1541,0,1541,7,1,226,1541,20,12277,7,10,2005,5,2,532,70,1,0,0,1,1,1,220000
"164",882,0,882,4,1,0,882,45,5555,4,7,1956,6,0,0,0,1,0,1,0,0,1,103200
"165",1149,467,1616,5,1,0,1149,40,5440,6,7,1926,7,1,216,0,1,0,0,1,0,0,152000
"166",808,547,1355,6,1,0,644,190,10168,5,15,1940,7,0,0,0,1,0,1,1,0,0,127500
"167",1867,0,1867,7,1,0,1617,20,10708,5,19,1955,5,1,303,0,1,0,0,0,3,1,190000
"168",1610,551,2161,8,1,300,1582,60,10648,8,10,2007,5,3,789,120,1,0,0,1,1,1,325624
"169",840,880,1720,7,1,0,840,60,8306,7,17,2004,5,2,440,48,1,0,0,1,1,1,183500
"170",1707,0,1707,6,1,653,1686,20,16669,8,16,1981,6,2,511,64,1,0,0,1,1,0,228000
"171",854,0,1382,7,1,0,720,50,12358,5,7,1941,6,2,660,0,1,0,0,1,0,0,128500
"172",1656,0,1656,7,1,112,1080,20,31911,6,11,1960,5,2,528,62,0,0,0,1,2,0,215000
"173",1064,703,1767,5,1,0,1064,160,5350,7,18,1987,7,2,504,35,1,0,0,1,1,0,239000
"174",1362,0,1362,6,1,491,1362,20,10277,6,11,1961,5,2,504,20,1,0,0,1,1,0,163000
"175",1651,0,1651,7,1,132,1606,20,12463,6,16,1986,5,2,616,0,1,0,0,1,1,0,184000
"176",2158,0,2158,7,1,0,1202,20,12699,6,15,1950,7,2,576,29,1,0,0,0,1,0,243000
"177",1164,896,2060,8,1,268,1151,60,10126,6,19,1988,5,2,521,228,1,0,0,1,1,0,211000
"178",1252,668,1920,8,1,0,1052,50,13650,5,9,1958,5,2,451,0,1,0,0,1,1,1,172500
"179",2234,0,2234,9,1,748,2216,20,17486,9,18,2008,5,3,1166,60,1,0,0,1,1,1,501837
"180",968,0,968,5,1,0,968,30,8580,5,7,1923,6,2,480,0,0,0,0,1,0,0,100000
"181",769,756,1525,5,1,456,756,160,2117,6,5,2000,5,2,440,0,1,0,0,1,1,1,177000
"182",901,901,1802,9,1,0,793,70,7642,7,2,1920,6,1,216,0,1,0,0,1,1,0,200100
"183",1340,0,1340,7,1,98,0,20,9120,5,15,1957,6,1,252,0,1,0,0,0,1,1,120000
"184",1362,720,2082,6,1,0,1362,50,11489,7,7,2003,5,2,484,238,0,0,0,1,0,1,200000
"185",936,316,1252,5,1,0,504,50,7530,5,8,1908,8,2,576,0,1,0,0,0,0,0,127000
"186",1518,1518,3608,12,1,0,1107,75,23040,10,7,1892,9,3,840,260,1,0,0,0,2,1,475000
"187",1217,0,1217,6,1,0,1188,80,9947,7,4,1990,5,2,497,27,1,0,0,0,0,1,173000
"188",808,704,1656,8,1,0,660,50,10470,5,7,1916,7,1,180,0,0,0,0,0,0,1,135000
"189",1224,0,1224,6,1,275,1086,90,7082,5,12,1979,5,2,528,0,1,0,0,1,2,0,153337
"190",1593,0,1593,5,1,0,1593,120,4964,8,18,2001,5,2,682,120,1,0,0,1,1,1,286000
"191",1549,1178,2727,10,1,0,853,70,10640,8,2,1932,8,2,440,74,1,0,0,1,2,0,315000
"192",725,754,1479,7,1,138,725,60,7472,7,11,1972,9,2,484,32,1,0,0,1,0,0,184000
"193",1431,0,1431,6,1,0,1431,20,9085,7,0,1999,5,2,666,35,1,0,0,1,0,1,192000
"194",970,739,1709,7,1,50,970,160,2546,7,15,2004,5,2,380,40,1,0,0,1,0,1,130000
"195",864,0,864,5,1,0,864,20,7240,5,0,1972,7,1,352,0,1,0,0,1,0,0,127000
"196",855,601,1456,7,1,0,855,160,2304,6,20,1976,6,2,440,0,1,0,0,1,1,0,148500
"197",1726,0,1726,8,1,205,1726,20,9495,7,5,2007,5,3,786,138,1,0,0,1,1,1,311872
"198",1360,1360,3112,8,1,0,1360,75,25593,8,11,1918,4,2,795,16,1,0,0,0,1,0,235000
"199",929,929,2229,8,1,0,755,75,5612,6,7,1912,6,0,0,198,1,0,1,0,0,1,104000
"200",1713,0,1713,7,1,262,1713,20,9667,8,10,2004,5,3,856,26,1,0,0,1,1,1,274900
"201",1121,0,1121,5,1,0,1121,20,8626,4,15,2003,5,2,440,64,1,0,0,1,0,1,140000
"202",1279,0,1279,6,1,0,1196,20,10200,6,4,1977,6,2,473,83,1,0,0,0,2,0,171500
"203",865,445,1310,6,1,0,617,50,7050,6,7,1924,6,1,398,0,1,0,0,1,0,0,112000
"204",848,0,848,3,1,205,848,120,4438,6,0,2004,5,2,420,0,1,0,0,1,1,1,149000
"205",720,564,1284,5,1,0,720,50,3550,5,7,1947,7,1,240,35,1,0,0,0,0,0,110000
"206",1442,0,1442,5,1,0,1424,20,11950,7,17,1990,5,2,500,34,1,0,0,1,0,1,180500
"207",1696,0,1696,8,1,0,1140,20,13713,5,9,1962,5,1,349,30,1,0,0,1,1,0,143900
"208",1100,0,1100,6,1,0,1100,20,12493,4,11,1960,5,1,312,0,1,0,0,0,1,0,141000
"209",1180,882,2062,7,1,128,1157,60,14364,7,12,1988,5,2,454,55,1,0,0,1,1,1,277000
"210",1092,0,1092,6,1,260,1092,20,8325,6,11,1964,7,2,504,0,1,0,0,0,0,1,145000
"211",864,0,864,5,0,0,864,30,5671,5,15,1925,6,0,0,0,1,0,1,1,0,0,98000
"212",1212,0,1212,6,1,0,1212,20,10503,6,15,2009,5,2,460,22,1,0,0,1,0,1,186000
"213",932,920,1852,7,1,0,900,60,8712,7,5,2009,5,2,644,108,1,0,0,1,1,1,252678
"214",990,0,990,5,1,0,990,20,13611,5,0,1995,5,2,576,0,1,0,0,1,0,1,156000
"215",689,703,1392,6,1,153,689,60,10900,6,0,1977,7,1,299,36,1,0,0,0,0,1,161750
"216",1236,0,1236,6,1,64,1070,20,10083,5,11,1957,6,1,447,0,1,0,0,0,1,0,134450
"217",1436,0,1436,8,1,266,1436,20,8515,7,0,2004,5,2,484,98,1,0,0,1,0,1,210000
"218",810,518,1328,8,0,0,686,70,9963,4,7,1925,4,1,210,172,1,0,0,1,0,0,107000
"219",1137,817,1954,8,1,312,798,50,15660,7,2,1939,9,2,431,119,1,0,0,1,2,1,311500
"220",1248,0,1248,5,1,16,1248,120,3053,7,21,2005,5,2,438,0,1,0,0,1,0,1,167240
"221",1498,0,1498,5,1,0,1498,20,9063,7,0,2006,5,2,675,33,1,0,0,1,0,1,204900
"222",1010,1257,2267,8,1,0,1010,60,8068,6,17,2002,5,2,390,46,1,0,0,1,1,1,200000
"223",811,741,1552,6,1,0,713,60,11560,6,6,1975,6,2,434,208,1,0,0,0,1,0,179900
"224",864,0,864,4,1,0,864,20,10570,4,11,1971,6,2,576,0,1,0,0,1,0,0,97000
"225",2392,0,2392,8,1,922,2392,20,13575,10,10,2003,5,3,968,105,1,0,0,1,1,1,386250
"226",630,672,1302,6,1,142,630,160,1701,5,22,1971,5,1,280,0,1,0,0,1,0,0,112000
"227",1214,1306,2520,9,1,290,1203,60,10032,7,3,1995,5,3,721,114,1,0,0,1,1,1,290000
"228",483,504,987,5,1,127,483,160,1890,6,22,1970,6,1,280,0,1,0,0,1,0,0,106000
"229",912,0,912,5,1,0,912,20,8591,5,9,1967,5,1,336,0,1,0,0,0,1,0,125000
"230",1555,0,1555,7,1,16,1373,120,3225,7,21,2005,5,2,430,20,1,0,0,1,1,1,192500
"231",1194,0,1194,6,1,220,1194,20,8833,6,11,1959,6,1,312,0,1,0,0,1,0,0,148000
"232",1490,1304,2794,9,1,506,1462,60,15312,8,3,1995,5,3,810,146,1,0,0,1,1,1,403000
"233",483,504,987,5,1,297,483,160,1701,6,22,1972,5,1,288,0,1,0,0,1,1,0,94500
"234",894,0,894,5,1,0,894,20,10725,5,0,1976,6,1,308,0,1,0,0,0,0,0,128200
"235",860,1100,1960,8,1,0,860,60,7851,6,17,2002,5,2,440,48,1,0,0,1,2,1,216500
"236",483,504,987,5,1,604,483,160,1701,6,22,1971,3,1,264,0,1,0,0,1,0,0,89500
"237",1414,0,1414,6,1,98,1414,20,8838,7,0,2004,5,2,494,105,1,0,0,1,0,1,185500
"238",1014,730,1744,7,1,0,996,60,9453,7,12,1993,7,2,457,70,1,0,0,1,0,1,194500
"239",1694,0,1694,7,1,254,1694,20,12123,8,10,2007,5,3,818,228,1,0,0,1,0,1,318000
"240",798,689,1487,7,1,0,735,50,8793,6,15,1945,4,1,220,140,1,0,0,0,1,0,113000
"241",1566,0,1566,7,1,36,1566,20,9075,8,5,2008,5,2,750,168,1,0,0,1,0,1,262500
"242",866,0,866,4,1,0,686,30,3920,5,7,1945,9,0,0,42,1,0,1,1,0,0,110500
"243",889,551,1440,6,0,0,540,50,5063,5,7,1900,4,1,352,0,1,0,0,1,0,0,79000
"244",626,591,1217,6,1,0,626,160,10837,6,12,1980,6,1,288,28,1,0,0,1,1,0,120000
"245",1222,888,2110,8,1,0,948,60,8880,7,12,1994,5,2,463,130,1,0,0,1,2,1,205000
"246",1872,0,1872,6,1,102,1845,20,10480,7,6,1988,5,2,604,39,1,0,0,1,1,0,241500
"247",908,1020,1928,9,0,0,1020,190,9211,6,7,1910,8,1,440,60,1,0,0,1,0,0,137000
"248",1375,0,1375,5,1,0,1367,20,11385,6,11,1954,5,2,451,30,1,0,0,1,1,1,140000
"249",840,828,1668,8,1,101,840,60,11389,7,0,2003,5,2,500,68,1,0,0,1,0,1,180000
"250",1444,700,2144,7,1,472,1444,50,159000,6,19,1958,7,2,389,98,1,0,0,1,2,0,277000
"251",1306,0,1306,6,1,0,728,30,5405,3,8,1940,2,0,0,0,1,0,1,0,0,1,76500
"252",1625,0,1625,5,1,481,1573,120,4794,8,2,2006,5,2,538,0,1,0,0,1,1,1,235000
