"id","garagecars","garagearea","wooddecksf","openporchsf","enclosedporch","x3ssnporch","screenporch","poolarea","miscval","dtsold","paveddrive_fp","paveddrive_fy","saletype_fcon","saletype_fconld","saletype_fconli","saletype_fconlw","saletype_fcwd","saletype_fnew","saletype_foth","saletype_fwd","garagefinish_fnone","garagefinish_frfn","garagefinish_funf","garagecond_ffa","garagecond_fgd","garagecond_fnone","garagecond_fpo","garagecond_fta","garagequal_ffa","garagequal_fgd","garagequal_fnone","garagequal_fpo","garagequal_fta","poolqc_ffa","poolqc_fgd","poolqc_fnone","fence_fgdwo","fence_fmnprv","fence_fmnww","fence_fnone","miscfeature_fnone","miscfeature_fothr","miscfeature_fshed","miscfeature_ftenc","x1stflrsf","x2ndflrsf","lowqualfinsf","grlivarea","bsmtfullbath","bsmthalfbath","fullbath","halfbath","bedroomabvgr","kitchenabvgr","totrmsabvgrd","fireplaces","garageyrblt","heatingqc_ex","heatingqc_fa","heatingqc_gd","heatingqc_po","centralair_y","electrical_fusef","electrical_fusep","electrical_mix","electrical_sbrkr","garagetype_2types","garagetype_attchd","garagetype_basment","garagetype_builtin","garagetype_carport","garagetype_detchd","kitchenqual_ex","kitchenqual_fa","kitchenqual_gd","functional_maj1","functional_maj2","functional_min1","functional_min2","functional_mod","functional_sev","fireplacequ_ex","fireplacequ_fa","fireplacequ_gd","fireplacequ_po","fireplacequ_ta","yearremodadd","roofstyle","roofmatl","exterior1st","exterior2nd","masvnrtype","masvnrarea","exterqual","extercond","foundation","bsmtqual","bsmtcond","bsmtexposure","bsmtfintype1","bsmtfinsf1","bsmtfintype2","bsmtfinsf2","bsmtunfsf","totalbsmtsf","heating","mssubclass","mszoning","lotarea","street","lotshape","landcontour","utilities","lotconfig","neighborhood","condition1","condition2","bldgtype","overallqual","overallcond","yearbuilt","yearremodadd1","alley_grvl","alley_pave","landslope_sev","landslope_mod","saleprice"
"11",11,1,384,0,0,0,0,0,0,0,"2008-02-01",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1040,0,0,1040,1,0,1,0,3,1,5,0,1965,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",906,"Unf",0,134,1040,"GasA",20,1,11270,1,0,0,1,0,"Sawyer",0,0,0,5,5,1965,1965,0,0,0,0,129500
"12",12,3,736,147,21,0,0,0,0,0,"2006-07-01",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1182,1142,0,2324,1,0,3,0,4,1,11,2,2005,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ",998,"Unf",0,177,1175,"GasA",60,1,12009,1,1,0,1,0,"NridgHt",0,0,0,9,5,2005,2006,0,0,0,0,345000
"13",13,1,352,140,0,0,0,176,0,0,"2008-09-01",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,912,0,0,912,1,0,1,0,2,1,4,0,1962,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,"Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",737,"Unf",0,175,912,"GasA",20,1,12968,1,2,0,1,0,"Sawyer",0,0,0,5,6,1962,1962,0,0,0,0,144000
"14",14,3,840,160,33,0,0,0,0,0,"2007-08-01",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1494,0,0,1494,0,0,2,0,3,1,7,1,2006,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1494,1494,"GasA",20,1,10743,1,1,0,1,0,"CollgCr",0,0,0,7,5,2006,2007,0,0,0,0,279500
"15",15,1,352,0,213,176,0,0,0,0,"2008-05-01",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1253,0,0,1253,1,0,1,1,2,1,5,1,1960,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ",733,"Unf",0,520,1253,"GasA",20,1,10920,1,1,0,1,2,"NAmes",0,0,0,6,5,1960,1960,0,0,0,0,157000
"16",16,2,576,48,112,0,0,0,0,0,"2007-07-01",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,854,0,0,854,0,0,1,0,2,1,5,0,1991,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,832,832,"GasA",45,2,6171,1,0,0,1,2,"BrkSide",0,0,0,7,8,1929,2001,0,0,0,0,132000
"17",17,2,480,0,0,0,0,0,0,700,"2010-03-01",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1004,0,0,1004,1,0,1,0,2,1,5,1,1970,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ",578,"Unf",0,426,1004,"GasA",20,1,11241,1,1,0,1,3,"NAmes",0,0,0,6,7,1970,1970,0,0,0,0,149000
"18",18,2,516,0,0,0,0,0,0,500,"2006-10-01",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1296,0,0,1296,0,0,2,0,2,2,6,0,1967,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","None","None","None","None",0,"None",0,0,0,"GasA",90,1,10863,1,0,0,1,0,"Sawyer",0,0,2,4,5,1967,1967,0,0,0,0,90000
"19",19,2,576,0,102,0,0,0,0,0,"2008-06-01",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1114,0,0,1114,1,0,1,1,3,1,6,0,2004,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",646,"Unf",0,468,1114,"GasA",20,1,13761,1,0,0,1,0,"SawyerW",3,0,0,5,5,2004,2004,0,0,0,0,159000
"20",20,1,294,0,0,0,0,0,0,0,"2009-05-01",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1339,0,0,1339,0,0,1,0,3,1,6,0,1958,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1965,"Hip","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",504,"Unf",0,525,1029,"GasA",20,1,7630,1,0,0,1,0,"NAmes",0,0,0,5,6,1958,1965,0,0,0,0,139000
"21",21,3,853,240,154,0,0,0,0,0,"2006-11-01",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1158,1218,0,2376,0,0,3,1,4,1,9,1,2005,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1158,1158,"GasA",60,1,14316,1,1,0,1,2,"NridgHt",0,0,0,8,5,2005,2006,0,0,0,0,325300
"22",22,1,280,0,0,205,0,0,0,0,"2007-06-01",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1108,0,0,1108,0,0,1,0,3,1,6,1,1930,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,637,637,"GasA",45,2,7506,1,0,1,1,0,"IDOTRR",0,0,0,7,7,1930,1950,1,0,0,0,139400
"23",23,2,534,171,159,0,0,0,0,0,"2008-09-01",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1795,0,0,1795,0,0,2,0,3,1,7,1,2002,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1777,1777,"GasA",20,1,9817,1,0,0,1,0,"CollgCr",0,0,0,8,5,2002,2002,0,0,0,0,230000
"24",24,2,572,100,110,0,0,0,0,0,"2007-06-01",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1060,0,0,1060,1,0,1,0,3,1,6,1,1976,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",840,"Unf",0,200,1040,"GasA",120,2,4268,1,0,0,1,0,"MeadowV",0,0,3,5,7,1976,1976,0,0,0,0,129900
"25",25,1,270,406,90,0,0,0,0,0,"2010-05-01",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1060,0,0,1060,1,0,1,0,3,1,6,1,1968,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2001,"Gable","CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec",188,"ALQ",668,204,1060,"GasA",20,1,8246,1,1,0,1,0,"Sawyer",0,0,0,5,8,1968,2001,0,0,0,0,154000
"26",26,3,890,0,56,0,0,0,0,0,"2009-07-01",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1600,0,0,1600,0,0,2,0,3,1,7,1,2007,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1566,1566,"GasA",20,1,14340,1,0,0,1,2,"NridgHt",0,0,0,8,5,2007,2007,0,0,0,0,256300
"27",27,2,576,222,32,0,0,0,0,0,"2010-05-01",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,900,0,0,900,0,1,1,0,3,1,5,0,2005,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",234,"Rec",486,180,900,"GasA",20,1,7260,1,0,0,1,2,"NAmes",0,0,0,5,7,1951,2000,0,0,0,0,134800
"28",28,3,772,0,50,0,0,0,0,0,"2010-05-01",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1704,0,0,1704,1,0,2,0,3,1,7,1,2008,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ",1218,"Unf",0,486,1704,"GasA",20,1,11576,1,0,0,1,0,"NridgHt",0,0,0,8,5,2007,2008,0,0,0,0,306000
"29",29,1,319,288,258,0,0,0,0,0,"2006-12-01",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1600,0,0,1600,1,0,1,0,2,1,6,2,1957,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",1277,"Unf",0,207,1484,"GasA",20,1,16368,1,1,0,1,3,"NAmes",0,0,0,5,6,1957,1997,0,0,0,0,207500
"30",30,1,240,49,0,87,0,0,0,0,"2008-05-01",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,520,0,0,520,0,0,1,0,1,1,4,0,1920,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,520,520,"GasA",30,2,6384,1,1,0,1,0,"BrkSide",1,3,0,4,6,1927,1950,0,0,0,0,68500
"31",31,1,250,0,54,172,0,0,0,0,"2008-07-01",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,649,668,0,1317,0,0,1,0,3,1,6,0,1920,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,"Gambrel","CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",0,649,649,"GasA",70,0,8550,1,0,0,1,0,"IDOTRR",1,0,0,4,4,1920,1950,0,1,0,0,40000
"32",32,1,271,0,65,0,0,0,0,0,"2008-06-01",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1228,0,0,1228,0,0,1,1,3,1,6,0,1966,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1228,1228,"GasA",20,1,8544,1,1,0,1,3,"Sawyer",0,0,0,5,6,1966,2006,0,0,0,0,149350
"33",33,2,484,0,30,0,0,0,0,0,"2008-01-01",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1234,0,0,1234,0,0,2,0,3,1,7,0,2007,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1234,1234,"GasA",20,1,11134,1,0,0,1,2,"CollgCr",0,0,0,8,5,2007,2007,0,0,0,0,179900
"34",34,2,447,0,38,0,0,0,0,0,"2010-04-01",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1700,0,0,1700,0,1,1,1,4,1,6,1,1959,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec",1018,"Unf",0,380,1398,"GasA",20,1,10622,1,1,0,1,0,"NAmes",0,0,0,5,5,1959,1959,0,0,0,0,165500
"35",35,2,556,203,47,0,0,0,0,0,"2007-08-01",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1561,0,0,1561,1,0,2,0,2,1,6,1,2005,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","GLQ",1153,"Unf",0,408,1561,"GasA",120,1,7373,1,0,0,1,0,"NridgHt",0,0,3,9,5,2005,2005,0,0,0,0,277500
"36",36,3,691,113,32,0,0,0,0,0,"2006-09-01",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1132,1320,0,2452,0,0,3,1,4,1,9,1,2004,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1117,1117,"GasA",60,1,13526,1,0,0,1,0,"NridgHt",0,0,0,8,5,2004,2005,0,0,0,0,309000
"37",37,2,672,392,64,0,0,0,0,0,"2009-06-01",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1097,0,0,1097,0,0,1,1,3,1,6,0,1995,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1097,1097,"GasA",20,1,10971,1,0,0,1,2,"CollgCr",0,0,0,5,5,1994,1995,0,0,0,0,145000
"38",38,2,498,0,0,0,0,0,0,0,"2009-10-01",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1297,0,0,1297,0,1,1,0,3,1,5,1,1954,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","TA","TA","No","Rec",1213,"Unf",0,84,1297,"GasA",20,1,8606,1,0,0,1,0,"NAmes",0,0,0,5,6,1954,1990,0,0,0,0,153000
