"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
36,"60","RL",108,13418,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam","High","8","5",2004,2005,"Low","Low","VinylSd","VinylSd","Stone",132,"Gd","TA","Other","Ex","High","Med","Med",0,"Unf",0,1117,1117,"GasA","Ex","Y","High",1132,1320,0,2452,0,0,3,1,4,1,"Gd",9,"High",1,"TA","Highest",2004,"Fin",3,691,"TA","TA","Y",113,32,0,0,0,0,"Low","None","None",0,9,2006,"Med","Med_High",309000
37,"20","RL",112,10859,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam","Med","5","5",1994,1995,"Low","Low","VinylSd","VinylSd","None",0,"TA","TA","Other","Gd","High","No","Med",0,"Unf",0,1097,1097,"GasA","Ex","Y","High",1097,0,0,1097,0,0,1,1,3,1,"TA",6,"High",0,"Low","High",1995,"Unf",2,672,"TA","TA","Y",392,64,0,0,0,0,"Low","None","None",0,6,2009,"Med","Med_High",145000
38,"20","RL",74,8532,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam","Med","5","6",1954,1990,"Med","Low","Med","Low","BrkFace",650,"TA","TA","Stone","TA","High","No","Low",1213,"Unf",0,84,1297,"GasA","Med","Y","High",1297,0,0,1297,0,1,1,0,3,1,"TA",5,"High",1,"TA","High",1954,"Fin",2,498,"TA","TA","Y",0,0,0,0,0,0,"Low","None","None",0,10,2009,"Med","Med_High",153000
39,"20","RL",68,7922,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam","Med","5","7",1953,2007,"Low","Low","VinylSd","VinylSd","None",0,"TA","Gd","Stone","TA","High","No","High",731,"Unf",0,326,1057,"GasA","Med","Y","High",1057,0,0,1057,1,0,1,0,3,1,"Gd",5,"High",0,"Low","Med",1953,"Unf",1,246,"TA","TA","Y",0,52,0,0,0,0,"Low","None","None",0,1,2010,"Med","Med",109000
40,"90","RL",65,6040,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Med","Norm","fmCon","Med","4","5",1955,1955,"Low","Low","Low","Med","None",0,"TA","TA","Other","None","Med","None","None",0,"None",0,0,0,"GasA","Med","N","Low",1152,0,0,1152,0,0,2,0,2,2,"Fa",6,"High",0,"Low","Low",9999,"None",0,0,"None","None","N",0,0,0,0,0,0,"Low","None","None",0,6,2008,"Med","Low",82000
41,"20","RL",84,8658,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam","Med","6","5",1965,1965,"Low","Low","Med","Low","BrkFace",101,"TA","TA","Stone","TA","High","No","Low",643,"Unf",0,445,1088,"GasA","Ex","Y","High",1324,0,0,1324,0,0,2,0,3,1,"TA",6,"High",1,"TA","High",1965,"RFn",2,440,"TA","TA","Y",0,138,0,0,0,0,"Low","Med","None",0,12,2006,"Med","Med",160000
42,"20","RL",115,16905,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Med","Norm","Fam","Med","5","6",1959,1959,"Low","Low","VinylSd","VinylSd","None",0,"TA","Gd","Stone","TA","High","Gd","Low",967,"Unf",0,383,1350,"GasA","Med","Y","High",1328,0,0,1328,0,1,1,1,2,1,"TA",5,"High",2,"TA","High",1959,"RFn",1,308,"TA","TA","P",0,104,0,0,0,0,"Low","None","None",0,7,2007,"Med","Med_High",170000
43,"85","RL",67.9348007740649,9180,"Pave","None","IRG","Lvl","AllPub","CulD","Gtl","True_Med","Med","Norm","Fam","Low","5","7",1983,1983,"Low","Low","High","Med","None",0,"TA","TA","Stone","Gd","High","Med","Med",747,"LwQ",93,0,840,"GasA","Med","Y","High",884,0,0,884,1,0,1,0,2,1,"Gd",5,"High",0,"Low","High",1983,"RFn",2,504,"TA","Gd","Y",240,0,0,0,0,0,"Low","Med","None",0,12,2007,"Med","Med_High",144000
44,"20","RL",67.9874505512296,9200,"Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_High","Med","Norm","Fam","Med","5","6",1975,1980,"Med","Low","VinylSd","VinylSd","None",0,"TA","TA","Stone","Gd","High","Med","Low",280,"BLQ",491,167,938,"GasA","Med","Y","High",938,0,0,938,1,0,1,0,3,1,"TA",5,"High",0,"Low","Med",1977,"Unf",1,308,"TA","TA","Y",145,0,0,0,0,0,"Low","Med","None",0,7,2008,"Med","Med_High",130250
45,"20","RL",70,7945,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam","Med","5","6",1959,1959,"Low","Low","Highest","Low","None",0,"TA","TA","Stone","TA","High","No","Med",179,"BLQ",506,465,1150,"GasA","Ex","Y","Med",1150,0,0,1150,1,0,1,0,3,1,"TA",6,"High",0,"Low","High",1959,"RFn",1,300,"TA","TA","Y",0,0,0,0,0,0,"Low","None","None",0,5,2006,"Med","Med_High",141000
46,"120","RL",61,7658,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam","Med","9","5",2005,2005,"Med","Low","Med","Low","BrkFace",412,"Ex","TA","Other","Ex","High","No","High",456,"Unf",0,1296,1752,"GasA","Ex","Y","High",1752,0,0,1752,1,0,2,0,2,1,"Ex",6,"High",1,"TA","High",2005,"RFn",2,576,"TA","TA","Y",196,82,0,0,0,0,"Low","None","None",0,2,2010,"Med","Med_High",319900
47,"50","RL",48,12822,"Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med","Med","Norm","Fam","Low","7","5",2003,2003,"Low","Low","VinylSd","VinylSd","None",0,"Gd","TA","Other","Ex","High","No","High",1351,"Unf",0,83,1434,"GasA","Ex","Y","High",1518,631,0,2149,1,0,1,1,1,1,"Gd",6,"High",1,"Ex","High",2003,"RFn",2,670,"TA","TA","Y",168,43,0,0,198,0,"Low","None","None",0,8,2009,"Med","Med",239686
48,"20","FV",84,11096,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Med","Norm","Fam","Med","8","5",2006,2006,"Low","Low","VinylSd","VinylSd","None",0,"Gd","TA","Other","Gd","High","Med","High",24,"Unf",0,1632,1656,"GasA","Ex","Y","High",1656,0,0,1656,0,0,2,0,3,1,"Gd",7,"High",0,"Low","High",2006,"RFn",3,826,"TA","TA","Y",0,146,0,0,0,0,"Low","None","None",0,7,2007,"Med","Med_High",249700
49,"190","Othr",33,4456,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Med","Norm","fmCon","High","4","5",1920,2008,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","Med",0,"Unf",0,736,736,"GasA","Med","Y","High",736,716,0,1452,0,0,2,0,2,3,"TA",8,"High",0,"Low","Low",9999,"None",0,0,"None","None","N",0,0,102,0,0,0,"Low","None","None",0,6,2009,"High","High",113000
50,"20","RL",66,7742,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam","Med","5","7",1966,1966,"Low","Low","High","Med","None",0,"TA","TA","Stone","TA","High","No","Low",763,"Unf",0,192,955,"GasA","Ex","Y","High",955,0,0,955,1,0,1,0,3,1,"TA",6,"High",0,"Low","High",1966,"Unf",1,386,"TA","TA","Y",0,0,0,0,0,0,"Low","Med","None",0,1,2007,"Med","Med_High",127000
51,"60","RL",80.2785410303293,13869,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","True_Med","Med","Norm","Fam","High","6","6",1997,1997,"Low","Low","VinylSd","VinylSd","None",0,"TA","TA","Other","Gd","High","Med","High",182,"Unf",0,612,794,"GasA","Med","Y","High",794,676,0,1470,0,1,2,0,3,1,"TA",6,"High",0,"Low","High",1997,"Fin",2,388,"TA","TA","Y",0,75,0,0,0,0,"Low","None","None",0,7,2007,"Med","Med_High",177000
52,"50","Othr",52,6240,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Med","Norm","Fam","Low","6","6",1934,1950,"Low","Low","Med","Low","None",0,"TA","TA","Other","TA","High","No","Med",0,"Unf",0,816,816,"GasA","Med","Y","High",816,0,360,1176,0,0,1,0,3,1,"TA",6,"High",1,"TA","Med",1985,"Unf",2,528,"TA","TA","Y",112,0,0,0,0,0,"Low","Med","Shed",400,9,2006,"Med","Med_High",114500
