"Id","MSSubClass","MSZoning","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","Fence","MiscFeature","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
11,20,"RL",105.830052442584,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam",5,"5",1965,1965,"Med","Low","High","None",0,"TA","TA","Stone","TA","High","No","Low","Unf",11.5758369027902,32.2490309931942,"GasA","Ex","Y","High",0,32.2490309931942,1,0,1,0,3,1,"TA",5,"High",0,"Low","Med",1965,19.5959179422654,"Y",0,0,0,0,0,0,"None","None",2,2008,"Med","Med_High",11.7714361601217
12,60,"RL",109.19706955775,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam",9,"5",2005,2006,"Med","Low","Med","Stone",286,"Ex","TA","Other","Ex","High","No","High","Unf",13.3041346956501,34.2782730020052,"GasA","Ex","Y","High",0,48.2078831727758,1,0,3,0,4,1,"Ex",11,"High",2,"TA","Highest",2005,27.1293199325011,"Y",12.1243556529821,4.58257569495584,0,0,0,0,"None","None",7,2006,"High","High",12.7512996960135
13,20,"RL",113.877126763894,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam",5,"6",1962,1962,"Med","Low","High","None",0,"TA","TA","Stone","TA","High","No","Med","Unf",13.228756555323,30.199337741083,"GasA","Med","Y","High",0,30.199337741083,1,0,1,0,2,1,"TA",4,"High",0,"Low","Med",1962,18.7616630392937,"Y",11.8321595661992,0,0,0,176,0,"None","None",9,2008,"Med","Med_High",11.8775685785581
14,20,"RL",103.208526779525,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam",7,"5",2006,2007,"Low","Low","VinylSd","Stone",306,"Gd","TA","Other","Gd","High","Med","Med","Unf",38.6522961801754,38.6522961801754,"GasA","Ex","Y","High",0,38.6522961801754,0,0,2,0,3,1,"Gd",7,"High",1,"TA","High",2006,28.9827534923789,"Y",12.6491106406735,5.74456264653803,0,0,0,0,"None","None",8,2007,"High","High",12.5407575715773
15,20,"RL",104.498803820905,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam",6,"5",1960,1960,"Med","Low","Med","BrkFace",212,"TA","TA","Stone","TA","High","No","Low","Unf",22.8035085019828,35.3977400408557,"GasA","Med","Y","High",0,35.3977400408557,1,0,1,1,2,1,"TA",5,"High",1,"Fa","High",1960,18.7616630392937,"Y",0,14.5945195193264,176,0,0,0,"Med","None",5,2008,"Med","Med_High",11.9640010843304
16,45,"Othr",78.2304288624318,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Med","Norm","Fam",7,"8",1929,2001,"Low","Low","Med","None",0,"TA","TA","BrkTil","TA","High","No","Med","Unf",28.8444102037119,28.8444102037119,"GasA","Ex","Y","Med",0,29.2232783924049,0,0,1,0,2,1,"TA",5,"High",0,"Low","Med",1991,24,"Y",6.92820323027551,10.5830052442584,0,0,0,0,"High","None",7,2007,"Med","Med_High",11.7905572015685
17,20,"RL",106.023582282434,"Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_Low","Med","Norm","Fam",6,"7",1970,1970,"Low","Low","Med","BrkFace",180,"TA","TA","Stone","TA","High","No","Med","Unf",20.6397674405503,31.6859590355097,"GasA","Ex","Y","High",0,31.6859590355097,1,0,1,0,2,1,"TA",5,"High",1,"TA","High",1970,21.9089023002066,"Y",0,0,0,0,0,0,"None","Shed",3,2010,"Med","Med_High",11.9117015849276
18,90,"RL",103.879738159085,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","fmCon",4,"5",1967,1967,"Low","Low","Med","None",0,"TA","TA","Slab","None","Med","None","None","None",0,0,"GasA","Med","Y","High",0,36,0,0,2,0,2,2,"TA",6,"High",0,"Low","Low",1967,22.7156333832011,"Y",0,0,0,0,0,0,"None","Shed",10,2006,"Med","Med_High",11.4075649493124
19,20,"RL",117.025638216589,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","True_Med","RRAe","Norm","Fam",5,"5",2004,2004,"Low","Low","VinylSd","None",0,"TA","TA","Other","TA","High","No","High","Unf",21.6333076527839,33.3766385365573,"GasA","Ex","Y","High",0,33.3766385365573,1,0,1,1,3,1,"Gd",6,"High",0,"Low","Med",2004,24,"Y",0,10.0995049383621,0,0,0,0,"None","None",6,2008,"Med","Med_High",11.9766594812024
20,20,"RL",86.9482604771366,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam",5,"6",1958,1965,"Med","Low","Highest","None",0,"TA","TA","Stone","TA","High","No","Low","Unf",22.9128784747792,32.0780298646909,"GasA","Med","Y","High",0,36.592348927064,0,0,1,0,3,1,"TA",6,"Med",0,"Low","High",1958,17.1464281994822,"Y",0,0,0,0,0,0,"Med","None",5,2009,"Med","Med",11.8422292121128
21,60,"RL",119.226674867665,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam",8,"5",2005,2006,"Low","Low","VinylSd","BrkFace",380,"Gd","TA","Other","Ex","High","Med","Med","Unf",34.0293990543471,34.0293990543471,"GasA","Ex","Y","High",0,48.7442304278158,0,0,3,1,4,1,"Gd",9,"High",1,"TA","Highest",2005,29.2061637330205,"Y",15.4919333848297,12.4096736459909,0,0,0,0,"None","None",11,2006,"High","High",12.6925031124614
22,45,"Othr",86.3075894692929,"Pave","Grvl","Reg","Bnk","AllPub","NotCulD","Gtl","Lowest","Med","Norm","Fam",7,"7",1930,1950,"Low","Low","Med","None",0,"TA","TA","Other","TA","High","No","Med","Unf",25.2388589282479,25.2388589282479,"GasA","Ex","Y","Med",0,33.2866339541865,0,0,1,0,3,1,"Gd",6,"High",1,"TA","High",1930,16.7332005306815,"N",0,0,205,0,0,0,"High","None",6,2007,"Med","Med_High",11.8451027773086
23,20,"RL",98.701570402907,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam",8,"5",2002,2002,"Med","Low","VinylSd","BrkFace",281,"Gd","TA","Other","Gd","High","No","Med","Unf",42.154477816716,42.154477816716,"GasA","Ex","Y","High",0,42.3674403286297,0,0,2,0,3,1,"Gd",7,"High",1,"TA","High",2002,23.1084400165827,"Y",13.076696830622,12.6095202129185,0,0,0,0,"None","None",9,2008,"Med","Med_High",12.3458345879053
24,120,"Othr",64.9923072370877,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lowest","Med","Norm","Fam",5,"7",1976,1976,"Low","Low","CemntBd","None",0,"TA","TA","Other","Gd","High","No","High","Unf",14.142135623731,32.2490309931942,"GasA","Med","Y","High",0,32.5576411921994,1,0,1,0,3,1,"TA",6,"High",1,"TA","High",1976,23.9165214862028,"Y",10,10.4880884817015,0,0,0,0,"None","None",6,2007,"Med","Med_High",11.7745202026587
25,20,"RL",90.8074886779719,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam",5,"8",1968,2001,"Low","Low","Highest","None",0,"TA","Gd","Stone","TA","High","Med","Low","ALQ",14.2828568570857,32.5576411921994,"GasA","Ex","Y","High",0,32.5576411921994,1,0,1,0,3,1,"Gd",6,"High",1,"TA","High",1968,16.431676725155,"Y",20.1494416796099,9.48683298050514,0,0,0,0,"Med","None",5,2010,"Med","Med_High",11.9447078813958
26,20,"RL",119.289563667573,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam",8,"5",2007,2007,"Low","Low","VinylSd","Stone",640,"Gd","TA","Other","Gd","High","No","Med","Unf",39.5727178748188,39.5727178748188,"GasA","Ex","Y","High",0,40,0,0,2,0,3,1,"Gd",7,"High",1,"TA","High",2007,29.8328677803526,"Y",0,7.48331477354788,0,0,0,0,"None","None",7,2009,"Med","Med_High",12.4541039123522
27,20,"RL",84.8528137423857,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam",5,"7",1951,2000,"Low","Low","Med","None",0,"TA","TA","Stone","TA","High","Med","Low","Rec",13.4164078649987,30,"GasA","Med","Y","High",0,30,0,1,1,0,3,1,"Gd",5,"High",0,"Low","Med",2005,24,"Y",14.8996644257513,5.65685424949238,0,0,0,0,"None","None",5,2010,"Med","Med_High",11.8115474774603
28,20,"RL",107.135428313887,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam",8,"5",2007,2008,"Low","Low","VinylSd","Stone",200,"Gd","TA","Other","Ex","High","No","High","Unf",22.0454076850486,41.2795348811006,"GasA","Ex","Y","High",0,41.2795348811006,1,0,2,0,3,1,"Gd",7,"High",1,"TA","High",2008,27.7848879788996,"Y",0,7.07106781186548,0,0,0,0,"None","None",5,2010,"Med","Med_High",12.6313403809345
29,20,"RL",127.753669223236,"Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_Low","Med","Norm","Fam",5,"6",1957,1997,"Low","Low","Med","None",0,"TA","TA","Stone","TA","High","Gd","Low","Unf",14.3874945699382,38.5227205685164,"GasA","Med","Y","High",0,40,1,0,1,0,2,1,"TA",6,"High",2,"TA","High",1957,17.8605710994918,"Y",16.9705627484771,16.062378404209,0,0,0,0,"None","None",12,2006,"Med","Med_High",12.2428866186529
30,30,"Othr",79.5235814082842,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Low","Low","RRNn","Fam",4,"6",1927,1950,"Low","Low","Med","None",0,"TA","TA","BrkTil","TA","High","No","Med","Unf",22.8035085019828,22.8035085019828,"GasA","Med","N","High",0,22.8035085019828,0,0,1,0,1,1,"Fa",4,"High",0,"Low","Med",1920,15.4919333848297,"Y",7,0,87,0,0,0,"None","None",5,2008,"Med","Med_High",11.1345890242503
31,70,"C (all)",92.1954445729289,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lowest","Low","Norm","Fam",4,"4",1920,1950,"Low","Low","Highest","None",0,"TA","Po","BrkTil","TA","High","No","Med","Unf",25.475478405714,25.475478405714,"GasA","Med","N","High",0,36.2904946232481,0,0,1,0,3,1,"TA",6,"High",0,"Low","Med",1920,15.8113883008419,"N",0,7.34846922834953,172,0,0,0,"Med","None",7,2008,"Med","Med_High",10.5966347330961
32,20,"RL",92.4337600663307,"Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_Low","Med","Norm","Fam",5,"6",1966,2006,"Low","Low","High","None",0,"TA","TA","Stone","TA","High","No","Med","Unf",35.0428309358705,35.0428309358705,"GasA","Med","Y","High",0,35.0428309358705,0,0,1,1,3,1,"Gd",6,"High",0,"Low","High",1966,16.4620776331543,"Y",0,8.06225774829855,0,0,0,0,"Med","None",6,2008,"Med","Med_High",11.9140478236443
33,20,"RL",105.114223585583,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam",8,"5",2007,2007,"Low","Low","VinylSd","None",0,"Gd","TA","Other","Ex","High","Med","Med","Unf",35.1283361405006,35.1283361405006,"GasA","Ex","Y","High",0,35.1283361405006,0,0,2,0,3,1,"Gd",7,"High",0,"Low","High",2007,22,"Y",0,5.47722557505166,0,0,0,0,"None","None",1,2008,"Med","Med_High",12.1001564199386
34,20,"RL",102.72292830717,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam",5,"5",1959,1959,"Med","Low","Highest","None",0,"TA","TA","Stone","TA","High","No","Low","Unf",19.4935886896179,37.3898381916798,"GasA","Med","Y","High",0,41.2310562561766,0,1,1,1,4,1,"Gd",6,"High",1,"TA","High",1959,21.142374511866,"Y",0,6.16441400296898,0,0,0,0,"None","None",4,2010,"Med","Med_High",12.0167264737993
35,120,"RL",85.5160803591933,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam",9,"5",2005,2005,"Med","Low","Med","BrkFace",246,"Ex","TA","Other","Ex","High","No","High","Unf",20.1990098767242,39.5094925302768,"GasA","Ex","Y","High",0,39.5094925302768,1,0,2,0,2,1,"Ex",6,"High",1,"TA","High",2005,23.5796522451032,"Y",14.247806848775,6.85565460040104,0,0,0,0,"None","None",8,2007,"Med","Med_High",12.5335762121686
36,60,"RL",115.83609109427,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam",8,"5",2004,2005,"Low","Low","VinylSd","Stone",132,"Gd","TA","Other","Ex","High","Med","Med","Unf",33.4215499341368,33.4215499341368,"GasA","Ex","Y","High",0,49.5176736125598,0,0,3,1,4,1,"Gd",9,"High",1,"TA","Highest",2004,26.2868788561898,"Y",10.6301458127346,5.65685424949238,0,0,0,0,"None","None",9,2006,"Med","Med_High",12.6410965558799
37,20,"RL",104.206525707366,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam",5,"5",1994,1995,"Low","Low","VinylSd","None",0,"TA","TA","Other","Gd","High","No","Med","Unf",33.1209903233584,33.1209903233584,"GasA","Ex","Y","High",0,33.1209903233584,0,0,1,1,3,1,"TA",6,"High",0,"Low","High",1995,25.9229627936314,"Y",19.7989898732233,8,0,0,0,0,"None","None",6,2009,"Med","Med_High",11.8844890214027
38,20,"RL",92.3688259100439,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam",5,"6",1954,1990,"Med","Low","Med","BrkFace",650,"TA","TA","Stone","TA","High","No","Low","Unf",9.16515138991168,36.0138862107382,"GasA","Med","Y","High",0,36.0138862107382,0,1,1,0,3,1,"TA",5,"High",1,"TA","High",1954,22.3159136044214,"Y",0,0,0,0,0,0,"None","None",10,2009,"Med","Med_High",11.9381932003746
39,20,"RL",89.0056178002265,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam",5,"7",1953,2007,"Low","Low","VinylSd","None",0,"TA","Gd","Stone","TA","High","No","High","Unf",18.0554700852678,32.5115364140177,"GasA","Med","Y","High",0,32.5115364140177,1,0,1,0,3,1,"Gd",5,"High",0,"Low","Med",1953,15.6843871413581,"Y",0,7.21110255092798,0,0,0,0,"None","None",1,2010,"Med","Med",11.5991031612113
40,90,"RL",77.7174369109018,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Med","Norm","fmCon",4,"5",1955,1955,"Low","Low","Low","None",0,"TA","TA","Other","None","Med","None","None","None",0,0,"GasA","Med","N","Low",0,33.9411254969543,0,0,2,0,2,2,"Fa",6,"High",0,"Low","Low",1962,0,"N",0,0,0,0,0,0,"None","None",6,2008,"Med","Low",11.3144745262464
41,20,"RL",93.0483745156249,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam",6,"5",1965,1965,"Low","Low","Med","BrkFace",101,"TA","TA","Stone","TA","High","No","Low","Unf",21.095023109729,32.9848450049413,"GasA","Ex","Y","High",0,36.3868107973205,0,0,2,0,3,1,"TA",6,"High",1,"TA","High",1965,20.976176963403,"Y",0,11.7473401244707,0,0,0,0,"Med","None",12,2006,"Med","Med",11.982929094216
42,20,"RL",130.019229347047,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Med","Norm","Fam",5,"6",1959,1959,"Low","Low","VinylSd","None",0,"TA","Gd","Stone","TA","High","Gd","Low","Unf",19.5703857907809,36.7423461417477,"GasA","Med","Y","High",0,36.4417343165772,0,1,1,1,2,1,"TA",5,"High",2,"TA","High",1959,17.5499287747842,"P",0,10.1980390271856,0,0,0,0,"None","None",7,2007,"Med","Med_High",12.0435537160324
43,85,"RL",95.8123165360279,"Pave","None","IRG","Lvl","AllPub","CulD","Gtl","True_Med","Med","Norm","Fam",5,"7",1983,1983,"Low","Low","High","None",0,"TA","TA","Stone","Gd","High","Med","Med","LwQ",0,28.9827534923789,"GasA","Med","Y","High",0,29.732137494637,1,0,1,0,2,1,"Gd",5,"High",0,"Low","High",1983,22.4499443206436,"Y",15.4919333848297,0,0,0,0,0,"Med","None",12,2007,"Med","Med_High",11.8775685785581
44,20,"RL",95.9166304662544,"Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_High","Med","Norm","Fam",5,"6",1975,1980,"Med","Low","VinylSd","None",0,"TA","TA","Stone","Gd","High","Med","Low","BLQ",12.9228479833201,30.6267856622271,"GasA","Med","Y","High",0,30.6267856622271,1,0,1,0,3,1,"TA",5,"High",0,"Low","Med",1977,17.5499287747842,"Y",12.0415945787923,0,0,0,0,0,"Med","None",7,2008,"Med","Med_High",11.7772109596156
45,20,"RL",89.1347294829574,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam",5,"6",1959,1959,"Low","Low","Highest","None",0,"TA","TA","Stone","TA","High","No","Med","BLQ",21.5638586528478,33.9116499156263,"GasA","Ex","Y","Med",0,33.9116499156263,1,0,1,0,3,1,"TA",6,"High",0,"Low","High",1959,17.3205080756888,"Y",0,0,0,0,0,0,"None","None",5,2006,"Med","Med_High",11.8565151693603
46,120,"RL",87.5099994286367,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam",9,"5",2005,2005,"Med","Low","Med","BrkFace",412,"Ex","TA","Other","Ex","High","No","High","Unf",36,41.8568990729127,"GasA","Ex","Y","High",0,41.8568990729127,1,0,2,0,2,1,"Ex",6,"High",1,"TA","High",2005,24,"Y",14,9.05538513813742,0,0,0,0,"None","None",2,2010,"Med","Med_High",12.6757637259376
47,50,"RL",113.23427043082,"Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med","Med","Norm","Fam",7,"5",2003,2003,"Low","Low","VinylSd","None",0,"Gd","TA","Other","Ex","High","No","High","Unf",9.1104335791443,37.868192457523,"GasA","Ex","Y","High",0,46.357307945997,1,0,1,1,1,1,"Gd",6,"High",1,"Ex","High",2003,25.8843582110896,"Y",12.9614813968157,6.557438524302,0,0,198,0,"None","None",8,2009,"Med","Med",12.3870850123755
48,20,"FV",105.33755265811,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Med","Norm","Fam",8,"5",2006,2006,"Low","Low","VinylSd","None",0,"Gd","TA","Other","Gd","High","Med","High","Unf",40.3980197534483,40.6939798987516,"GasA","Ex","Y","High",0,40.6939798987516,0,0,2,0,3,1,"Gd",7,"High",0,"Low","High",2006,28.7402157263998,"Y",0,12.0830459735946,0,0,0,0,"None","None",7,2007,"Med","Med_High",12.4280154762679
49,190,"Othr",66.7532770731145,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Med","Norm","fmCon",4,"5",1920,2008,"Low","Low","Med","None",0,"TA","TA","BrkTil","TA","High","No","Med","Unf",27.1293199325011,27.1293199325011,"GasA","Med","Y","High",0,38.1051177665153,0,0,2,0,2,3,"TA",8,"High",0,"Low","Low",1900,0,"N",0,0,102,0,0,0,"None","None",6,2009,"High","High",11.6351430976945
50,20,"RL",87.9886356298357,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam",5,"7",1966,1966,"Low","Low","High","None",0,"TA","TA","Stone","TA","High","No","Low","Unf",13.856406460551,30.9030742807249,"GasA","Ex","Y","High",0,30.9030742807249,1,0,1,0,3,1,"TA",6,"High",0,"Low","High",1966,19.6468827043885,"Y",0,0,0,0,0,0,"Med","None",1,2007,"Med","Med_High",11.7519423654407
51,60,"RL",117.766718558343,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","True_Med","Med","Norm","Fam",6,"6",1997,1997,"Low","Low","VinylSd","None",0,"TA","TA","Other","Gd","High","Med","High","Unf",24.738633753706,28.1780056072107,"GasA","Med","Y","High",0,38.3405790253616,0,1,2,0,3,1,"TA",6,"High",0,"Low","High",1997,19.6977156035922,"Y",0,8.66025403784439,0,0,0,0,"None","None",7,2007,"Med","Med_High",12.083905011556
52,50,"Othr",78.993670632526,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Med","Norm","Fam",6,"6",1934,1950,"Low","Low","Med","None",0,"TA","TA","Other","TA","High","No","Med","Unf",28.5657137141714,28.5657137141714,"GasA","Med","Y","High",360,34.2928563989645,0,0,1,0,3,1,"TA",6,"High",1,"TA","Med",1985,22.9782505861521,"Y",10.5830052442584,0,0,0,0,0,"Med","Shed",9,2006,"Med","Med_High",11.6483301019764
53,90,"Othr",92.0434679920308,"Grvl","None","IRG","Bnk","AllPub","NotCulD","Othr","Lowest","High","Norm","fmCon",5,"5",1963,1963,"Low","Low","Med","None",0,"Fa","TA","Stone","Gd","High","Gd","Low","GLQ",0,28.5657137141714,"GasA","Med","N","High",0,28.5657137141714,1,0,1,0,2,1,"TA",5,"High",0,"Low","Low",1963,22.7156333832011,"Y",10.295630140987,0,0,0,0,0,"None","None",5,2010,"Med","Med_High",11.6082356447746
