"","id","mssubclass","mszoning","lotarea","street","lotshape","landcontour","utilities","lotconfig","neighborhood","condition1","condition2","bldgtype","overallqual","overallcond","yearbuilt","yearremodadd.x","alley_grvl","alley_pave","landslope_sev","landslope_mod","yearremodadd.y","roofstyle","roofmatl","exterior1st","exterior2nd","masvnrtype","masvnrarea","exterqual","extercond","foundation","bsmtqual","bsmtcond","bsmtexposure","bsmtfintype1","bsmtfinsf1","bsmtfintype2","bsmtfinsf2","bsmtunfsf","totalbsmtsf","heating.x","garagecars","garagearea","wooddecksf","openporchsf","enclosedporch","x3ssnporch","screenporch","poolarea","miscval","paveddrive.fp","paveddrive.fy","saletype.fcon","saletype.fconld","saletype.fconli","saletype.fconlw","saletype.fcwd","saletype.fnew","saletype.foth","saletype.fwd","garagefinish.fnone","garagefinish.frfn","garagefinish.funf","garagecond.ffa","garagecond.fgd","garagecond.fnone","garagecond.fpo","garagecond.fta","garagequal.ffa","garagequal.fgd","garagequal.fnone","garagequal.fpo","garagequal.fta","poolqc.ffa","poolqc.fgd","poolqc.fnone","fence.fgdwo","fence.fmnprv","fence.fmnww","fence.fnone","miscfeature.fnone","miscfeature.fothr","miscfeature.fshed","miscfeature.ftenc","heating.y","heatingqc","centralair","electrical","x1stflrsf","x2ndflrsf","lowqualfinsf","grlivarea","bsmtfullbath","bsmthalfbath","fullbath","halfbath","bedroomabvgr","kitchenabvgr","kitchenqual","totrmsabvgrd","functional","fireplaces","fireplacequ","garagetype","garageyrblt","heatingqc_gd","heatingqc_ta","heatingqc_fa","heatingqc_po","centralair_n","electrical_fusef","electrical_fusea","electrical_fusep","electrical_mix","electrical_na","garagetype_detchd","garagetype_builtin","garagetype_carport","garagetype_na","garagetype_basment","garagetype_2types","kitchenqual_ta","kitchenqual_ex","kitchenqual_fa","functional_min1","functional_maj1","functional_min2","functional_mod","functional_maj2","functional_sev","fireplacequ_ta","fireplacequ_gd","fireplacequ_fa","fireplacequ_ex","fireplacequ_po","yrsold","monthsold"
"11",11,20,0,11270,1,0,0,1,0,"Sawyer",0,0,0,5,5,1965,1965,0,0,0,0,1965,1,"CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",906,"Unf",0,134,1040,"GasA",1,384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","Ex","Y","SBrkr",10,1,0,10,1,0,1,1,0,0,1,4,"Typ",0,NA,"Detchd",1965,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,2
"12",12,60,0,12009,1,1,0,1,0,"NridgHt",0,0,0,9,5,2005,2006,0,0,0,0,2006,1,"CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ",998,"Unf",0,177,1175,"GasA",3,736,147,21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","Ex","Y","SBrkr",11,8,0,11,1,0,2,1,1,0,2,5,"Typ",2,"Gd","BuiltIn",2005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2006,7
"13",13,20,0,12968,1,2,0,1,0,"Sawyer",0,0,0,5,6,1962,1962,0,0,0,0,1962,1,"CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",737,"Unf",0,175,912,"GasA",1,352,140,0,0,0,176,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","TA","Y","SBrkr",12,1,0,12,1,0,1,1,3,0,1,6,"Typ",0,NA,"Detchd",1962,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,9
"14",14,20,0,10743,1,1,0,1,0,"CollgCr",0,0,0,7,5,2006,2007,0,0,0,0,2007,0,"CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1494,1494,"GasA",3,840,160,33,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","Ex","Y","SBrkr",13,1,0,13,0,0,0,1,0,0,0,2,"Typ",1,"Gd","Attchd",2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007,8
"15",15,20,0,10920,1,1,0,1,2,"NAmes",0,0,0,6,5,1960,1960,0,0,0,0,1960,1,"CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ",733,"Unf",0,520,1253,"GasA",1,352,0,213,176,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,"GasA","TA","Y","SBrkr",14,1,0,14,1,0,1,0,3,0,1,4,"Typ",1,"Fa","Attchd",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2008,5
"16",16,45,1,6171,1,0,0,1,2,"BrkSide",0,0,0,7,8,1929,2001,0,0,0,0,2001,0,"CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,832,832,"GasA",2,576,48,112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"GasA","Ex","Y","FuseA",15,1,0,15,0,0,1,1,3,0,1,4,"Typ",0,NA,"Detchd",1991,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,7
"17",17,20,0,11241,1,1,0,1,3,"NAmes",0,0,0,6,7,1970,1970,0,0,0,0,1970,0,"CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ",578,"Unf",0,426,1004,"GasA",2,480,0,0,0,0,0,0,700,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,"GasA","Ex","Y","SBrkr",16,1,0,16,1,0,1,1,3,0,1,4,"Typ",1,"TA","Attchd",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,3
"18",18,90,0,10863,1,0,0,1,0,"Sawyer",0,0,2,4,5,1967,1967,0,0,0,0,1967,0,"CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","None","None","None","None",0,"None",0,0,0,"GasA",2,516,0,0,0,0,0,0,500,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,"GasA","TA","Y","SBrkr",17,1,0,17,0,0,0,1,3,1,1,1,"Typ",0,NA,"CarPort",1967,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,10
"19",19,20,0,13761,1,0,0,1,0,"SawyerW",3,0,0,5,5,2004,2004,0,0,0,0,2004,0,"CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",646,"Unf",0,468,1114,"GasA",2,576,0,102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","Ex","Y","SBrkr",18,1,0,18,1,0,1,0,0,0,0,1,"Typ",0,NA,"Detchd",2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,6
"20",20,20,0,7630,1,0,0,1,0,"NAmes",0,0,0,5,6,1958,1965,0,0,0,0,1965,1,"CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",504,"Unf",0,525,1029,"GasA",1,294,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,"GasA","TA","Y","SBrkr",19,1,0,19,0,0,1,1,0,0,1,1,"Min1",0,NA,"Attchd",1958,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2009,5
"21",21,60,0,14316,1,1,0,1,2,"NridgHt",0,0,0,8,5,2005,2006,0,0,0,0,2006,0,"CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1158,1158,"GasA",3,853,240,154,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","Ex","Y","SBrkr",20,9,0,20,0,0,2,0,1,0,0,3,"Typ",1,"Gd","BuiltIn",2005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,11
"22",22,45,1,7506,1,0,1,1,0,"IDOTRR",0,0,0,7,7,1930,1950,1,0,0,0,1950,0,"CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,637,637,"GasA",1,280,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"GasA","Ex","Y","FuseF",21,1,0,21,0,0,1,1,0,0,0,1,"Typ",1,"Gd","Attchd",1930,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007,6
"23",23,20,0,9817,1,0,0,1,0,"CollgCr",0,0,0,8,5,2002,2002,0,0,0,0,2002,1,"CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1777,1777,"GasA",2,534,171,159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","Ex","Y","SBrkr",22,1,0,22,0,0,0,1,0,0,0,2,"Typ",1,"Gd","Attchd",2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008,9
"24",24,120,1,4268,1,0,0,1,0,"MeadowV",0,0,3,5,7,1976,1976,0,0,0,0,1976,0,"CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",840,"Unf",0,200,1040,"GasA",2,572,100,110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","TA","Y","SBrkr",23,1,0,23,1,0,1,1,0,0,1,1,"Typ",1,"TA","Attchd",1976,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2007,6
"25",25,20,0,8246,1,1,0,1,0,"Sawyer",0,0,0,5,8,1968,2001,0,0,0,0,2001,0,"CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec",188,"ALQ",668,204,1060,"GasA",1,270,406,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,"GasA","Ex","Y","SBrkr",23,1,0,23,1,0,1,1,0,0,0,1,"Typ",1,"TA","Attchd",1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,5
"26",26,20,0,14340,1,0,0,1,2,"NridgHt",0,0,0,8,5,2007,2007,0,0,0,0,2007,0,"CompShg","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1566,1566,"GasA",3,890,0,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","Ex","Y","SBrkr",24,1,0,24,0,0,0,1,0,0,0,2,"Typ",1,"Gd","Attchd",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2009,7
"27",27,20,0,7260,1,0,0,1,2,"NAmes",0,0,0,5,7,1951,2000,0,0,0,0,2000,0,"CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",234,"Rec",486,180,900,"GasA",2,576,222,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","TA","Y","SBrkr",25,1,0,25,0,1,1,1,0,0,0,4,"Typ",0,NA,"Detchd",2005,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,5
"28",28,20,0,11576,1,0,0,1,0,"NridgHt",0,0,0,8,5,2007,2008,0,0,0,0,2008,0,"CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ",1218,"Unf",0,486,1704,"GasA",3,772,0,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","Ex","Y","SBrkr",26,1,0,26,1,0,0,1,0,0,0,2,"Typ",1,"Gd","Attchd",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010,5
"29",29,20,0,16368,1,1,0,1,3,"NAmes",0,0,0,5,6,1957,1997,0,0,0,0,1997,0,"CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",1277,"Unf",0,207,1484,"GasA",1,319,288,258,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","TA","Y","SBrkr",24,1,0,24,1,0,1,1,3,0,1,1,"Typ",2,"Gd","Attchd",1957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,12
"30",30,30,1,6384,1,1,0,1,0,"BrkSide",1,3,0,4,6,1927,1950,0,0,0,0,1950,0,"CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,520,520,"GasA",1,240,49,0,87,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"GasA","Fa","N","SBrkr",27,1,0,27,0,0,1,1,2,0,3,6,"Typ",0,NA,"Detchd",1920,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008,5
"31",31,70,2,8550,1,0,0,1,0,"IDOTRR",1,0,0,4,4,1920,1950,0,1,0,0,1950,2,"CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",0,649,649,"GasA",1,250,0,54,172,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,"GasA","TA","N","SBrkr",28,10,0,28,0,0,1,1,0,0,1,1,"Typ",0,NA,"Detchd",1920,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,7
"32",32,20,0,8544,1,1,0,1,3,"Sawyer",0,0,0,5,6,1966,2006,0,0,0,0,2006,0,"CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1228,1228,"GasA",1,271,0,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,"GasA","Gd","Y","SBrkr",29,1,0,29,0,0,1,0,0,0,0,1,"Typ",0,NA,"Attchd",1966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,6
"33",33,20,0,11134,1,0,0,1,2,"CollgCr",0,0,0,8,5,2007,2007,0,0,0,0,2007,0,"CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1234,1234,"GasA",2,484,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","Ex","Y","SBrkr",30,1,0,30,0,0,0,1,0,0,0,2,"Typ",0,NA,"Attchd",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1
"34",34,20,0,10622,1,1,0,1,0,"NAmes",0,0,0,5,5,1959,1959,0,0,0,0,1959,1,"CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec",1018,"Unf",0,380,1398,"GasA",2,447,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","Gd","Y","SBrkr",31,1,0,31,0,1,1,0,1,0,0,1,"Typ",1,"Gd","Attchd",1959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010,4
"35",35,120,0,7373,1,0,0,1,0,"NridgHt",0,0,3,9,5,2005,2005,0,0,0,0,2005,1,"CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","GLQ",1153,"Unf",0,408,1561,"GasA",2,556,203,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,"GasA","Ex","Y","SBrkr",32,1,0,32,1,0,0,1,3,0,2,1,"Typ",1,"Gd","Attchd",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2007,8
